B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.274258498081	0.0	0.0	0.0	0.167505351845	0.558236150074
B	0.285535277674	0.0	0.0	0.0	0.170001253099	0.544463469227
C	0.157320904917	0.0	0.0	0.0	0.399852601409	0.442826493674
D	0.15717147548	0.0	0.0	0.0	0.39619087952	0.446637645
E	0.156880155139	0.0	0.0	0.0	0.191288903396	0.651830941464
F	0.187091040828	0.0	0.0	0.0	0.157612527434	0.655296431738
G	0.363427462969	0.0	0.0	0.0	0.170011137252	0.466561399779
H	0.382824407945	0.0	0.0	0.0	0.252642578048	0.364533014007
I	0.378674023411	0.0	0.0	0.0	0.256095324072	0.365230652517
J	0.165220915278	0.0	0.0	0.0	0.537731649921	0.297047434802
K	0.152719643509	0.0	0.0	0.0	0.236036430025	0.611243926466
L	0.101332600466	0.0	0.0	0.0	0.569896277785	0.328771121749
