B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.0234768543756	0.43622664698	0.0	0.0	0.489645627834	0.0506508708104
B	0.00554925386682	0.396401560486	0.0	0.0	0.496610038081	0.101439147565
C	0.0	0.20748681585	0.0	0.0725256285495	0.484277220314	0.235710335286
D	0.0	0.24774419009	0.0	0.0	0.498667240053	0.253588569856
E	0.0	0.219402763418	0.0	0.0408249187753	0.508954094731	0.230818223075
F	0.0	0.157580643152	0.0	0.0	0.567254731345	0.275164625503
G	0.0169106703067	0.274259488755	0.0	0.379978554421	0.328851286517	0.0
H	0.0738678722272	0.529937977281	0.0	0.0445060589319	0.351688091559	0.0
I	0.0831642187424	0.557390195083	0.0	0.0286832712907	0.330762314884	0.0
J	0.0	0.0792422192076	0.0	0.0	0.489772485102	0.43098529569
K	0.0	0.0142413598576	0.0	0.0	0.600195463998	0.385563176144
L	0.0	0.244098865118	0.0	0.0486659290267	0.475769110485	0.231466095371
