B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.0	0.51181201785	0.0	0.0	0.320946592562	0.167241389588
B	0.0	0.508763673638	0.0	0.0	0.339954207595	0.151282118767
C	0.116000442408	0.189917775614	0.0	0.0	0.551679212702	0.142402569277
D	0.129238677033	0.185940422937	0.0	0.0	0.553624852142	0.131196047888
E	0.0281462643937	0.328831626512	0.0	0.0	0.461885089955	0.181137019139
F	0.0	0.434063139779	0.22115417188	0.0	0.161958216557	0.182824471784
G	0.0404828685952	0.50137355628	0.0	0.0661265501011	0.392017025024	0.0
H	0.0	0.64954398534	0.0	0.0	0.35045601466	0.0
I	0.0	0.667179651445	0.0	0.0	0.330864414328	0.00195593422715
J	0.217491676132	0.0213849947231	0.0	0.0	0.655560836007	0.105562493137
K	0.215656597306	0.0176683972894	0.0	0.0	0.536445795383	0.230229210021
L	0.146645238077	0.125541577199	0.0	0.0	0.602538836203	0.125274348521
