B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.28473072889	0.0	0.0	0.0	0.394721492289	0.320547778822
B	0.279896373988	0.0	0.0	0.0	0.394817943343	0.325285682669
C	0.27704422813	0.0	0.0	0.0	0.401212303389	0.321743468481
D	0.274582760039	0.0	0.0	0.0	0.40335062368	0.322066616281
E	0.282579825007	0.0	0.0	0.0	0.39466729709	0.322752877903
F	0.278094160459	0.0	0.0	0.0	0.397293892367	0.324611947174
G	0.288068041286	0.0	0.0	0.0	0.398465876878	0.313466081836
H	0.292383037891	0.0	0.0	0.0	0.386167763436	0.321449198674
I	0.28723438658	0.0	0.0	0.0	0.387542252907	0.325223360514
J	0.278061142115	0.0	0.0	0.0	0.400976333867	0.320962524018
K	0.27587644162	0.0	0.0	0.0	0.398904870016	0.325218688364
L	0.280717893425	0.0	0.0	0.0	0.401297251474	0.317984855101
