B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.214916584887	0.0	0.0	0.0	0.709682695453	0.0754007196598
B	0.244332876921	0.0	0.0	0.0	0.719610527917	0.036056595162
C	0.0	0.0	0.0	0.0	0.872214147287	0.127785852713
D	0.0	0.0	0.0	0.0	0.908245948522	0.0917540514776
E	0.0137969094923	0.0	0.0	0.0	0.385623620309	0.600579470199
F	0.230207837538	0.0	0.0	0.0	0.255275265746	0.514516896716
G	0.321586790173	0.0	0.0	0.0	0.678413209827	0.0
H	0.301361256545	0.0	0.0	0.0	0.698638743455	0.0
I	0.326877555412	0.0	0.0	0.0	0.673122444588	0.0
J	0.0	0.0	0.0	0.0	1.0	0.0
K	0.0567296996663	0.0	0.0	0.0	0.402669632925	0.540600667408
L	0.0	0.0	0.0	0.0	1.0	0.0
