B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.101050368676	0.351149977575	0.228984083558	0.0	0.147024276443	0.171791293748
B	0.0870518001469	0.315408501374	0.245175575774	0.00352426227319	0.199322655882	0.14951720455
C	0.00549010220713	0.0393646962549	0.213741196646	0.000492251373416	0.639170780094	0.101740973424
D	0.00867730771846	0.0399872868468	0.228461023221	0.0	0.614995594777	0.107878787437
E	0.0189879567862	0.108898322227	0.314895525734	0.0	0.153727824217	0.403490371037
F	0.015984299282	0.144043875457	0.690312199777	0.00825175980488	0.0816158196309	0.0597920460475
G	0.121303086523	0.569034420406	0.0	0.160686406078	0.0583755333434	0.0906005536489
H	0.0716775074264	0.771285269953	0.0	0.0	0.0781591179623	0.0788781046585
I	0.0841093794871	0.762467452422	0.0	0.0	0.0746446718365	0.0787784962542
J	0.0175340410589	0.011763163297	0.12656295141	0.0	0.844139844234	0.0
K	0.00681189104832	0.0309953404554	0.188700143809	0.00806259501107	0.270492896583	0.494937133094
L	0.0244258535782	0.0289609582176	0.123136203276	0.0130223210233	0.810454663904	0.0
