	Tool	BatchSize	cpuSeconds	maxvmem	wallclock
1	absCIBERSORT	100	7252.175	2.532G	3208.448
2	absCIBERSORT	100	7731.03	2.432G	3377.288
3	absCIBERSORT	100	7656.121	2.434G	3380.084
4	absCIBERSORT	100	7745.197	2.431G	3383.923
5	absCIBERSORT	100	7742.127	2.431G	3391.423
6	absCIBERSORT	10	750.715	2.428G	332.147
7	absCIBERSORT	10	733.768	2.328G	326.803
8	absCIBERSORT	10	740.531	2.327G	325.916
9	absCIBERSORT	10	767.188	2.326G	341.744
10	absCIBERSORT	10	754.556	2.327G	335.216
11	absCIBERSORT	10	950.256	2.279G	425.929
12	absCIBERSORT	10	745.43	2.406G	332.2
13	absCIBERSORT	10	982.017	2.280G	436.439
14	absCIBERSORT	10	959.465	2.281G	435.354
15	absCIBERSORT	10	744.575	2.326G	328.704
16	absCIBERSORT	10	743.667	2.328G	333.413
17	absCIBERSORT	10	775.039	2.328G	345.314
18	absCIBERSORT	10	738.955	2.326G	329.618
19	absCIBERSORT	100	9542.84	2.385G	4174.065
20	absCIBERSORT	100	9578.998	2.385G	4193.434
21	absCIBERSORT	100	9598.445	2.386G	4255.098
22	absCIBERSORT	10	729.061	2.410G	324.931
23	absCIBERSORT	100	9454.74	2.385G	4285.567
24	absCIBERSORT	10	968.961	2.279G	426.56
25	absCIBERSORT	10	956.971	2.278G	415.266
26	absCIBERSORT	10	744.684	2.329G	327.097
27	absCIBERSORT	10	717.671	2.326G	325.298
28	absCIBERSORT	10	953.962	2.278G	427.179
29	absCIBERSORT	10	774.486	2.309G	344.699
30	absCIBERSORT	50	3844.199	2.385G	1664.411
31	absCIBERSORT	50	3893.847	2.385G	1684.323
32	absCIBERSORT	50	3759.979	2.384G	1650.827
33	absCIBERSORT	100	7607.294	2.432G	3323.447
34	absCIBERSORT	50	4881.36	2.339G	2128.133
35	absCIBERSORT	50	4864.136	2.330G	2117.188
36	absCIBERSORT	50	3891.965	2.387G	1679
37	absCIBERSORT	50	3408.851	2.483G	1501.52
38	absCIBERSORT	50	3858.448	2.384G	1676.171
39	absCIBERSORT	50	3840.476	2.384G	1725.546
40	absCIBERSORT	50	3779.395	2.382G	1648.351
41	absCIBERSORT	500	38847.902	3.216G	17124.248
42	absCIBERSORT	500	48058.881	3.068G	21554.611
43	absCIBERSORT	500	51435.661	3.068G	22041.398
44	absCIBERSORT	500	51413.352	3.068G	22016.304
45	absCIBERSORT	500	48587.589	3.068G	24307.523
46	absCIBERSORT	1000	72459.763	4.261G	32128.093
47	absCIBERSORT	1000	76528.043	4.261G	33965.66
48	absCIBERSORT	1000	90651.603	4.113G	40054.171
49	absCIBERSORT	1000	90925.772	4.113G	44532.201
50	absCIBERSORT	1000	94694.573	4.113G	46852.268
52	absCIBERSORT	2526	181956.02	8.972G	86400.919
53	absCIBERSORT	2526	182290.42	8.972G	86400.474
54	CIBERSORT	10	746.729	2.324G	327.642
55	CIBERSORT	10	634.899	2.564G	284.383
56	CIBERSORT	10	754.95	2.324G	327.569
57	CIBERSORT	10	824.665	2.427G	369.321
58	CIBERSORT	10	754.69	2.323G	468.265
59	CIBERSORT	10	686.999	2.564G	510.114
60	CIBERSORT	10	777.243	2.325G	572.69
61	CIBERSORT	10	992.896	2.255G	456.783
62	CIBERSORT	10	641.798	2.562G	474.757
63	CIBERSORT	10	799.535	2.326G	348.112
64	CIBERSORT	10	694.784	2.562G	315.763
65	CIBERSORT	10	768.762	2.324G	336.106
66	CIBERSORT	10	815.195	2.324G	387.256
67	CIBERSORT	10	750.433	2.425G	330.208
68	CIBERSORT	10	1709.627	2.166G	795.842
69	CIBERSORT	10	911.063	2.277G	405.227
70	CIBERSORT	10	760.972	2.324G	493.328
71	CIBERSORT	10	697.889	2.565G	512.81
72	CIBERSORT	10	770.122	2.307G	548.496
73	CIBERSORT	10	1582.004	2.147G	736.516
74	CIBERSORT	50	3758.815	2.614G	1666.801
75	CIBERSORT	50	3777.134	2.377G	1664.466
76	CIBERSORT	50	3973.284	2.377G	1730.078
77	CIBERSORT	100	7216.574	2.531G	3170.242
78	CIBERSORT	50	3950.823	2.478G	1795.51
79	CIBERSORT	50	4096.484	2.480G	1793.849
80	CIBERSORT	100	7704.328	2.432G	3327.093
81	CIBERSORT	100	7706.407	2.432G	3333.125
82	CIBERSORT	100	7537.904	2.429G	3340.312
83	CIBERSORT	50	4865.032	2.331G	2120.289
84	CIBERSORT	50	3166.266	2.617G	2101.387
85	CIBERSORT	50	3800.374	2.377G	2412.538
86	CIBERSORT	50	3492.9	2.615G	2441.854
87	CIBERSORT	100	9184.175	2.430G	5186.517
88	CIBERSORT	100	9218.656	2.432G	5169.533
89	CIBERSORT	100	9215.786	2.429G	5174.879
90	CIBERSORT	100	9297.611	2.430G	5215.829
91	CIBERSORT	100	9310.504	2.429G	5216.996
92	CIBERSORT	50	8339.426	2.219G	3711.932
93	CIBERSORT	100	9777.324	2.383G	5629.851
94	CIBERSORT	500	34624.106	3.352G	15606.33
95	CIBERSORT	500	37121.32	3.113G	16286.369
