AbsCibersort	Cibersort	DCQ	Decon	dtangle	EPIC	GEDIT	Savant
-0.299216105142396	-0.300111342531894	0.00445633483543777	-0.835270246884854	-0.256012539989392	-0.951269800917646	-0.728523900901145	-0.254586953507946
-0.082820485962982	-0.0831733238585316	0.0392797176158548	0.173624788089015	-0.161906364080245	-0.141074756992888	-0.0251295237965314	-0.109677478232795
-0.137306059190421	-0.137300983249763	0.0101181533597336	-0.138098366675958	-0.141813110411406	-0.139006166538133	-0.122917265146817	-0.14153608069683
0.77584881359777	0.775915437731378	0.0201408248825165	0.803083018783761	-0.359460614583042	0.960017731075814	0.576945776675909	-0.440780331123733
0.342348032390758	0.342849829391057	0.010726964241364	0.662071558516044	-0.256050909214353	0.802531219649361	0.208402499305662	-0.314592880445648
0.671588793088975	0.67229338333889	0.0391707365471167	0.596577253326701	-0.121164652935369	0.910796342836709	0.927873279092021	-0.118962697545762
NA	0.300623532739825	0.0491116418134902	0.596261401873894	-0.135015860948899	-0.142014897899687	0.0858042099910511	-0.125286875541143
NA	-0.122831057886987	0.0381428055247659	0.431379284184522	-0.2272384355494	0.648028182559807	0.346477520960749	-0.0966419870861797
NA	-0.133573674978884	0.0122327423675982	-0.137939141043191	-0.141577507694948	-0.137857783328978	-0.130414892865899	-0.14123729637848
NA	NA	0.0336531585027914	0.949747324408966	-0.124740179304303	0.965148163918311	0.785737295451421	-0.12543689434771
NA	NA	NA	NA	NA	NA	NA	-0.125377467317938
