	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	11.9309621088	0	0	0	11.2486400761	9.84374028912	0
B	11.9121515132	0	0	0	11.2766101306	9.83015969989	0
C	12.0327179973	0	0	0	11.3727059333	9.84131150351	0
D	12.0330334403	0	0	0	11.3891781326	9.86728445219	0
E	11.9903489035	0	0	0	11.3105444285	9.99731512977	0
F	11.7649832868	0	0	0	11.1645857253	10.0113836897	0
G	11.7632269562	0	0	0	11.1169310183	9.72196642151	0
H	11.7785063294	0	0	0	11.0233065669	9.63078700905	0
I	11.7925743081	0	0	0	11.0291510119	9.64636773819	0
J	12.0291949582	0	0	0	11.3837895202	9.72533643334	0
K	12.0270290616	0	0	0	11.2896349087	9.93284188097	0
L	12.0063177234	0	0	0	11.436327999	9.79721759637	0
