	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.5968	0.469	0.2432	0.206	0.772	0.5119	3.7527
B	0.6471	0.4793	0.2576	0.2159	0.788	0.5058	3.6273
C	0.1954	0.1385	0.1654	0.049	1.7786	0.6611	2.7817
D	0.205	0.1387	0.1439	0.0483	1.781	0.6625	2.9451
E	0.1753	0.2742	0.268	0.0982	1.0697	0.8831	3.0354
F	0.1442	0.366	0.4943	0.0977	0.0	0.4444	2.7916
G	0.441	0.4796	0.2759	0.397	0.1672	0.0794	3.9057
H	0.3454	0.6523	0.1159	0.16	0.0	0.0	3.6065
I	0.301	0.6488	0.0914	0.1491	0.0	0.0	3.5223
J	0.1747	0.0	0.1146	0.0	2.0111	0.3694	2.5005
K	0.1804	0.0	0.2421	0.0	1.1795	0.9783	2.7969
L	0.0	0.0101	0.1181	0.0306	1.9972	0.3515	3.4049
