	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0964999812567	0.272075618943	0.239154757555	0.122107206466	0.211865604029	0.0582968317501	0
B	0.10382433352	0.263573716375	0.234937738375	0.132240105349	0.210948534319	0.0544755720618	0
C	0.0592688281736	0.142030775041	0.265437283538	0.044868191628	0.440428162637	0.0479667589833	0
D	0.0674688224183	0.142546271172	0.271073225267	0.0390970626475	0.431237569504	0.0485770489914	0
E	0.0407861208812	0.188434636736	0.310566450813	0.0632500192614	0.266356485476	0.130606286832	0
F	0.081064192558	0.211859067674	0.434542511191	0.120894851083	0.119613970878	0.0320254066153	0
G	0.108220647503	0.23800430224	0.141573730788	0.340114039057	0.166785302763	0.0053019776477	0
H	0.10436935366	0.423214200515	0.142931790483	0.125443430166	0.196632359776	0.00740886540086	0
I	0.101833191906	0.426608732229	0.134878749184	0.128195884268	0.201522194632	0.00696124778032	0
J	0.130011624121	0.059340985956	0.22927030487	0.0	0.581377085053	0.0	0
K	0.114424604296	0.0313276217987	0.358299800094	0.0	0.314126903232	0.181821070579	0
L	0.0508340961799	0.096134933885	0.185354786258	0.0865533901546	0.581122793523	0.0	0
