	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	2.99132724466	0	0	0	0.800412654355	0.981248475941	0
B	4.84523843171	0	0	0	0.920668949468	1.15654247422	0
C	2.02304302108	0	0	0	2.48556791089	3.19587209532	0
D	3.05091748444	0	0	0	2.45888380257	3.23012201789	0
E	0.437461520338	0	0	0	1.84790818991	3.8735248845	0
F	2.30573788618	0	0	0	0.375052606353	0.998359258015	0
G	1.2435726233	0	0	0	0.0	0.0	0
H	0.717409718738	0	0	0	0.0371737170324	0.0	0
I	0.855776195859	0	0	0	0.152379585881	0.0	0
J	6.94172161133	0	0	0	3.17285238236	2.42056955008	0
K	5.72100788539	0	0	0	2.42462319731	5.3665701283	0
L	0.618622373557	0	0	0	3.11291855488	2.44414778545	0
