	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_66	0.0333660174292	3.90539931208e-08	1.61541843531e-07	0	0	0	0	0.821768189364
mix_67	0.0286304999405	6.40228058305e-09	2.61371607335e-06	0	0	0	0	0.818874612963
mix_68	0.0336328269174	5.51964052298e-08	5.18742059004e-05	0	0	0	0	0.821740592961
mix_69	0.0330071631017	1.06533689174e-07	1.48738155521e-09	0	0	0	0	0.818723811594
mix_70	0.0327769155023	8.60802189081e-08	0.000481280329606	0	0	0	0	0.825800768434
mix_71	0.0323961514057	5.81784894675e-08	7.05029016413e-10	0	0	0	0	0.821870807683
mix_72	0.0312322555281	1.07821490349e-07	3.6924593287e-08	0	0	0	0	0.824536459839
mix_73	0.033517578651	5.94483592767e-07	1.47047610957e-07	0	0	0	0	0.826270770581
mix_74	0.0280065493769	3.31397253843e-10	2.65651550624e-09	0	0	0	0	0.815484466286
mix_75	0.0337644259409	7.52809802617e-10	5.06307597592e-06	0	0	0	0	0.820959996397
mix_76	0.0290298873198	1.41143513052e-08	5.07597825108e-07	0	0	0	0	0.822353559457
mix_77	0.0312968521951	1.17709393763e-09	1.50039634039e-08	0	0	0	0	0.818502558096
mix_78	0.0317181805343	1.02334328751e-09	1.57327055222e-07	0	0	0	0	0.820489820991
mix_79	0.0358024650956	1.1829833258e-08	8.6151222067e-08	0	0	0	0	0.827208226234
mix_80	0.0356939533139	2.87754506164e-08	2.19028292046e-06	0	0	0	0	0.821012820948
mix_81	0.0356146160118	2.07306483386e-08	1.80348682278e-09	0	0	0	0	0.826834034197
mix_82	0.0323819677872	1.52859687942e-07	1.86349214485e-05	0	0	0	0	0.834054782418
mix_83	0.031890295722	1.83295377092e-09	6.26984833191e-05	0	0	0	0	0.824304796492
mix_84	0.0299934989976	3.45727660581e-07	2.81962157366e-06	0	0	0	0	0.82119227629
mix_85	0.0325878521501	2.33023660318e-08	2.95126414596e-08	0	0	0	0	0.825512526747
mix_86	0.0301757217789	3.64219188798e-08	8.32194088811e-06	0	0	0	0	0.819589697453
mix_87	0.0209431269144	3.55815578929e-06	1.34969646584e-09	0	0	0	0	0.816473136475
mix_88	0.0292140620266	4.89853991862e-09	2.58206789951e-08	0	0	0	0	0.819159335324
mix_89	0.0399613063796	3.77794809556e-10	5.04030190202e-06	0	0	0	0	0.828867204957
mix_90	0.0234367909926	4.76141880204e-09	3.80526270971e-09	0	0	0	0	0.815933121981
mix_91	0.0252855892672	0.000130792681885	1.0813095554e-08	0	0	0	0	0.820774443739
mix_92	0.0322166905198	7.37955176093e-09	1.81900228281e-08	0	0	0	0	0.819444576297
mix_93	0.033213870058	0.00229406562437	6.90311313642e-07	0	0	0	0	0.829781423864
mix_94	0.0265329904057	5.0978828101e-06	2.23077148818e-08	0	0	0	0	0.817469932275
mix_95	0.0291360840861	2.56066785223e-09	8.01458790189e-08	0	0	0	0	0.820413111362
mix_96	0.0332357228561	8.35189118791e-09	1.33385591435e-09	0	0	0	0	0.820936310336
mix_97	0.024985352002	2.8236836476e-09	1.1047606303e-09	0	0	0	0	0.819716648109
mix_98	0.027255654658	2.12312815402e-08	1.98591766526e-05	0	0	0	0	0.821076867831
mix_99	0.0340601808047	1.53475427282e-06	3.60865210872e-05	0	0	0	0	0.831226458626
mix_100	0.0281405261627	7.76254655166e-11	7.71810605052e-07	0	0	0	0	0.821389328158
