	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
mix_1	0.0	0.156	0.1332	0.5585	0.1368	0
mix_2	0.0	0.1339	0.0722	0.7089	0.0528	0
mix_3	0.1424	0.5331	0.218	0.0539	0.0527	0
mix_4	0.2111	0.2977	0.2019	0.2341	0.0552	0
mix_5	0.1099	0.2047	0.3437	0.1959	0.1458	0
mix_6	0.0929	0.2253	0.2156	0.3986	0.0676	0
mix_7	0.2867	0.3039	0.2089	0.1092	0.0914	0
mix_8	0.2578	0.267	0.0	0.4752	0.0	0
mix_9	0.0	0.2388	0.209	0.403	0.1429	0
mix_10	0.3765	0.3041	0.1245	0.1949	0.0	0
mix_11	0.0043	0.1903	0.0591	0.6686	0.061	0
mix_12	0.0	0.2089	0.1772	0.5394	0.0379	0
mix_13	0.385	0.2085	0.1825	0.1137	0.1102	0
mix_14	0.4227	0.2432	0.1659	0.1683	0.0	0
mix_15	0.269	0.1028	0.3386	0.008	0.2816	0
mix_16	0.1715	0.4112	0.1998	0.1813	0.0362	0
mix_17	0.4985	0.339	0.1625	0.0	0.0	0
mix_18	0.0	0.1467	0.0231	0.7745	0.0159	0
mix_19	0.2051	0.1928	0.1969	0.3696	0.0355	0
mix_20	0.0509	0.3256	0.5144	0.0	0.109	0
mix_21	0.2502	0.2965	0.2792	0.1579	0.0162	0
mix_22	0.24	0.1303	0.2076	0.2882	0.1338	0
mix_23	0.2923	0.3073	0.0493	0.3511	0.0	0
mix_24	0.0	0.0945	0.0131	0.77	0.0944	0
mix_25	0.0	0.4048	0.1653	0.4139	0.0	0
mix_26	0.0	0.3586	0.3558	0.0	0.2856	0
mix_27	0.2741	0.0604	0.0	0.5347	0.1308	0
mix_28	0.1324	0.3993	0.3768	0.0	0.0914	0
mix_29	0.0813	0.2368	0.2154	0.3586	0.108	0
mix_30	0.1393	0.2429	0.2064	0.346	0.0655	0
mix_31	0.0768	0.371	0.1103	0.4051	0.0312	0
mix_32	0.1285	0.3259	0.235	0.2375	0.073	0
mix_33	0.1579	0.2921	0.087	0.417	0.046	0
mix_34	0.0	0.1753	0.0964	0.621	0.0869	0
mix_35	0.0536	0.1673	0.2417	0.4376	0.0843	0
mix_36	0.3117	0.4827	0.0697	0.115	0.0208	0
mix_37	0.2996	0.459	0.0639	0.1775	0.0	0
mix_38	0.0399	0.4888	0.3045	0.0	0.1668	0
mix_39	0.3077	0.1882	0.3029	0.0148	0.1864	0
mix_40	0.1731	0.3586	0.0482	0.4062	0.0139	0
mix_41	0.0	0.1325	0.1938	0.535	0.118	0
mix_42	0.319	0.3629	0.2706	0.0	0.0475	0
mix_43	0.0	0.2567	0.3598	0.1816	0.2019	0
mix_44	0.0	0.447	0.2483	0.1514	0.1533	0
mix_45	0.0	0.4759	0.1559	0.359	0.0	0
mix_46	0.1223	0.2308	0.4635	0.0557	0.1277	0
mix_47	0.1868	0.3131	0.0965	0.4023	0.0	0
mix_48	0.241	0.0386	0.0	0.5689	0.1514	0
mix_49	0.2058	0.1101	0.1487	0.4228	0.1126	0
mix_50	0.2611	0.5237	0.1687	0.0465	0.0	0
mix_51	0.2335	0.1175	0.0238	0.4934	0.1319	0
mix_52	0.3662	0.3285	0.1982	0.0	0.1071	0
mix_53	0.2265	0.1614	0.0577	0.4572	0.0973	0
mix_54	0.328	0.2878	0.3678	0.0	0.0164	0
mix_55	0.2056	0.1766	0.0899	0.4517	0.0761	0
mix_56	0.1005	0.5097	0.1548	0.235	0.0	0
mix_57	0.0	0.319	0.1454	0.4303	0.1014	0
mix_58	0.1302	0.2766	0.2896	0.1694	0.1342	0
mix_59	0.0	0.1247	0.2429	0.5115	0.1047	0
mix_60	0.3257	0.2673	0.1328	0.2743	0.0	0
mix_61	0.2171	0.6345	0.1484	0.0	0.0	0
mix_62	0.1863	0.5068	0.2035	0.0	0.1034	0
mix_63	0.0	0.2623	0.1698	0.5008	0.0503	0
mix_64	0.2068	0.3406	0.0	0.4525	0.0	0
mix_65	0.0934	0.2057	0.2533	0.1966	0.2509	0
mix_66	0.2231	0.0932	0.0516	0.498	0.1341	0
mix_67	0.2804	0.2975	0.2796	0.0	0.1425	0
mix_68	0.0182	0.2231	0.4693	0.0513	0.2382	0
mix_69	0.1902	0.3045	0.0281	0.4768	0.0	0
mix_70	0.3751	0.0246	0.0238	0.2284	0.348	0
mix_71	0.2953	0.1091	0.0	0.5917	0.0	0
mix_72	0.5268	0.4055	0.032	0.0355	0.0	0
mix_73	0.3327	0.1124	0.2022	0.1506	0.202	0
mix_74	0.2489	0.3463	0.0866	0.2774	0.0408	0
mix_75	0.2055	0.1535	0.0	0.5629	0.0781	0
mix_76	0.01	0.2686	0.4082	0.1539	0.1593	0
mix_77	0.0433	0.4704	0.386	0.0	0.1004	0
mix_78	0.1454	0.1446	0.1573	0.4658	0.0864	0
mix_79	0.0	0.2471	0.1318	0.5567	0.0273	0
mix_80	0.2862	0.3454	0.174	0.1943	0.0	0
mix_81	0.1031	0.5417	0.1723	0.1829	0.0	0
mix_82	0.2112	0.2011	0.1513	0.4059	0.0305	0
mix_83	0.1602	0.1835	0.0276	0.5422	0.0747	0
mix_84	0.1814	0.3871	0.1869	0.2446	0.0	0
mix_85	0.1095	0.4136	0.2365	0.2376	0.0	0
mix_86	0.0125	0.4863	0.3236	0.061	0.1167	0
mix_87	0.0664	0.4574	0.1141	0.3572	0.0	0
mix_88	0.1579	0.3212	0.2957	0.1366	0.0885	0
mix_89	0.1153	0.415	0.3602	0.011	0.0985	0
mix_90	0.0408	0.3488	0.1834	0.4159	0.0	0
mix_91	0.1465	0.1383	0.0768	0.5063	0.1321	0
mix_92	0.1317	0.377	0.0966	0.3948	0.0	0
mix_93	0.0	0.113	0.0	0.8224	0.0238	0
mix_94	0.0	0.0819	0.1525	0.6021	0.145	0
mix_95	0.2352	0.0816	0.0458	0.4634	0.174	0
mix_96	0.179	0.0671	0.0934	0.4014	0.2591	0
mix_97	0.0946	0.2396	0.1574	0.4613	0.0336	0
mix_98	0.1833	0.3028	0.0852	0.4288	0.0	0
mix_99	0.058	0.63	0.2901	0.0	0.0218	0
mix_100	0.1501	0.3701	0.1306	0.3436	0.0056	0
