	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S10661	0	0.0	0	0	0	0.0
S10676	0	0.0	0	0	0	54.6355472987
S1068	0	0.0	0	0	0	0.0
S10681	0	0.0	0	0	0	0.0
S10686	0	0.0	0	0	0	0.0
S10688	0	0.0	0	0	0	0.0
S10690	0	0.0	0	0	0	0.0
S10698	0	0.0	0	0	0	-4.33916053856
S107	0	0.0	0	0	0	0.0
S10703	0	0.0	0	0	0	0.0
S10726	0	0.0	0	0	0	0.0
S10729	0	0.0	0	0	0	0.0
S10733	0	0.0	0	0	0	0.0
S10734	0	0.0	0	0	0	-34.7692951194
S10735	0	0.0	0	0	0	0.0
S10740	0	0.0	0	0	0	0.0
S10745	0	0.0	0	0	0	0.0
S10748	0	0.0	0	0	0	0.0
S10753	0	0.0	0	0	0	0.0
S10756	0	0.0	0	0	0	-12.0899567907
S10757	0	0.0	0	0	0	0.0
S1076	0	0.0	0	0	0	0.0
S10764	0	0.0	0	0	0	2.75139439934
S10767	0	0.0	0	0	0	0.0
S10776	0	0.0	0	0	0	0.0
S10778	0	0.0	0	0	0	0.0
S10784	0	0.0	0	0	0	0.0
S10787	0	0.0	0	0	0	0.0
S10800	0	0.0	0	0	0	0.0
S10805	0	0.0	0	0	0	0.0
S10813	0	0.0	0	0	0	0.0
S10814	0	0.0	0	0	0	0.0
S10815	0	0.0	0	0	0	0.0
S10817	0	0.0	0	0	0	0.0
S1083	0	0.0	0	0	0	0.0
S10835	0	0.0	0	0	0	0.0
S10838	0	0.0	0	0	0	-8.51723671948
S10844	0	0.0	0	0	0	0.0
S10845	0	0.0	0	0	0	0.0
S10846	0	0.0	0	0	0	0.0
S10853	0	0.0	0	0	0	0.0
S10854	0	0.0	0	0	0	0.0
S10865	0	0.0	0	0	0	0.0
S10866	0	0.0	0	0	0	0.0
S10869	0	0.0	0	0	0	-2.22516640775
S10873	0	0.0	0	0	0	0.0
S10876	0	0.0	0	0	0	26.3904102911
S10883	0	0.0	0	0	0	0.0
S10885	0	0.0	0	0	0	0.0
S10893	0	0.0	0	0	0	0.0
S10895	0	0.0	0	0	0	0.0
S10902	0	0.0	0	0	0	0.0
S10903	0	0.0	0	0	0	102.397625099
S1092	0	0.0	0	0	0	0.0
S10925	0	0.0	0	0	0	0.0
S10927	0	0.0	0	0	0	0.0
S10936	0	0.0	0	0	0	0.0
S10945	0	0.0	0	0	0	0.0
S10947	0	0.0	0	0	0	0.0
S10949	0	0.0	0	0	0	-25.5830392882
S1095	0	0.0	0	0	0	0.0
S10961	0	0.0	0	0	0	0.0
S10969	0	0.0	0	0	0	0.0
S10972	0	0.0	0	0	0	0.0
S10973	0	0.0	0	0	0	0.0
S10978	0	0.0	0	0	0	-18.7700379037
S10979	0	0.0	0	0	0	0.0
S10986	0	0.0	0	0	0	0.0
S10989	0	0.0	0	0	0	0.0
S10995	0	0.0	0	0	0	-1.72028967322
S11005	0	0.0	0	0	0	-5.02768689207
S11008	0	0.0	0	0	0	0.0
S11010	0	0.0	0	0	0	-20.2254178589
S11013	0	0.0	0	0	0	0.0
S11016	0	0.0	0	0	0	0.0
S11017	0	0.0	0	0	0	0.0
S11020	0	0.0	0	0	0	1.37797012596
S11027	0	0.0	0	0	0	0.0
S11035	0	0.0	0	0	0	0.0
S11041	0	0.0	0	0	0	-2.72602930894
S1106	0	0.0	0	0	0	0.0
S11071	0	6.51682399173	0	0	0	0.0
S11076	0	0.0	0	0	0	0.0
S11078	0	0.0	0	0	0	0.0
S11081	0	0.0	0	0	0	0.0
S11086	0	0.0	0	0	0	0.0
S1109	0	0.0	0	0	0	27.7468127389
S11096	0	0.0	0	0	0	70.7720509589
S11100	0	0.0	0	0	0	0.0
S11107	0	0.0	0	0	0	0.0
S11109	0	0.0	0	0	0	0.0
S1111	0	0.0	0	0	0	0.0
S11119	0	0.0	0	0	0	0.0
S11127	0	0.0	0	0	0	0.0
S11136	0	0.0	0	0	0	0.0
S11147	0	0.0	0	0	0	0.0
S11150	0	0.0	0	0	0	0.0
S11152	0	0.0	0	0	0	0.0
S1116	0	0.0	0	0	0	0.0
S11163	0	0.0	0	0	0	0.0
S11164	0	0.0	0	0	0	0.0
S11166	0	0.0	0	0	0	25.4773706607
S11173	0	0.0	0	0	0	0.0
S11174	0	0.0	0	0	0	0.0
S11182	0	0.0	0	0	0	0.0
S11188	0	0.0	0	0	0	0.0
S11189	0	0.0	0	0	0	-10.5989617784
S1119	0	0.0	0	0	0	0.0
S11195	0	0.0	0	0	0	-8.5730084326
S11197	0	0.0	0	0	0	0.0
S11198	0	0.0	0	0	0	19.5413087019
S11211	0	0.0	0	0	0	0.0
S11214	0	0.0	0	0	0	-0.815417563015
S11216	0	0.0	0	0	0	-4.7793631711
S11224	0	0.0	0	0	0	0.0
S11236	0	0.0	0	0	0	0.0
S11241	0	0.0	0	0	0	-13.9056224146
S11243	0	0.0	0	0	0	0.0
S11245	0	0.0	0	0	0	0.0
S11249	0	0.0	0	0	0	-5.36624612897
S11274	0	0.0	0	0	0	0.0
S11280	0	0.0	0	0	0	0.0
S11281	0	0.0	0	0	0	0.0
S11285	0	0.0	0	0	0	0.0
S11298	0	0.0	0	0	0	0.0
S11311	0	0.0	0	0	0	0.0
S11312	0	0.0	0	0	0	0.0
S11316	0	0.0	0	0	0	0.0
S1133	0	0.0	0	0	0	0.0
S11330	0	0.0	0	0	0	0.0
S11332	0	1.13507368034	0	0	0	0.0
S11334	0	0.0	0	0	0	0.0
S11335	0	0.0	0	0	0	0.0
S11345	0	0.0	0	0	0	0.0
S11349	0	0.0	0	0	0	0.0
S1135	0	0.0	0	0	0	0.0
S11352	0	0.0	0	0	0	0.0
S11353	0	0.0	0	0	0	0.0
S11368	0	0.0	0	0	0	0.0
S11369	0	0.0	0	0	0	0.0
S11371	0	0.0	0	0	0	0.0
S11377	0	0.0	0	0	0	0.0
S11378	0	0.0	0	0	0	0.0
S11383	0	0.0	0	0	0	0.0
S11384	0	0.0	0	0	0	-58.7474213902
S11392	0	0.0	0	0	0	-40.3654649482
S1140	0	0.0	0	0	0	-13.4109994644
S11410	0	0.0	0	0	0	0.0
S11411	0	0.0	0	0	0	0.0
S11414	0	0.0	0	0	0	0.0
S11419	0	0.0	0	0	0	0.0
S11424	0	0.0	0	0	0	0.0
S11425	0	0.0	0	0	0	0.0
S11433	0	0.0	0	0	0	0.0
S11434	0	0.0	0	0	0	0.0
S11436	0	0.0	0	0	0	0.0
S11437	0	0.0	0	0	0	0.0
S11440	0	-1.31297439667	0	0	0	8.73789210122
S11449	0	0.0	0	0	0	-10.8822130253
S11459	0	0.0	0	0	0	-3.90268147253
S11477	0	0.0	0	0	0	0.0
S11480	0	0.0	0	0	0	0.0
S11486	0	0.0	0	0	0	11.24778845
S11501	0	0.0	0	0	0	-4.84940582594
S11504	0	0.0	0	0	0	0.0
S11507	0	0.0	0	0	0	0.0
