	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0	5.83646729279e-255	0.0	0.0	5.75037572661e-230	0.0	1.0
B	0.0	4.52555708789e-255	0.0	0.0	5.90794429849e-230	0.0	1.0
C	0.0	2.49682619163e-255	0.0	0.0	8.53656830613e-230	0.0	1.0
D	0.0	2.46586769774e-255	0.0	0.0	8.18882367824e-230	0.0	1.0
E	0.0	2.78580716302e-255	0.0	0.0	7.34955155436e-230	0.0	1.0
F	0.0	2.67232485484e-255	0.0	0.0	3.98797460848e-230	0.0	1.0
G	0.0	1.67152774446e-254	0.0	0.0	5.83469087856e-230	0.0	1.0
H	0.0	2.72294397949e-254	0.0	0.0	9.0671944475e-230	0.0	1.0
I	0.0	2.86824309109e-254	0.0	0.0	4.61604159492e-230	0.0	1.0
J	0.0	3.70751836085e-255	0.0	0.0	9.18739733901e-230	0.0	1.0
K	0.0	3.22678039637e-255	0.0	0.0	8.04814458883e-230	0.0	1.0
L	0.0	2.40010146299e-255	0.0	0.0	7.32412403765e-230	0.0	1.0
