	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S10546	0	1.0	0	0	0	6.05861991852e-58
S1055	0	1.0	0	0	0	6.12691253121e-58
S10551	0	1.0	0	0	0	5.73557572205e-58
S10552	0	1.0	0	0	0	6.4916602631e-58
S10555	0	1.0	0	0	0	4.80860678082e-58
S10559	0	1.0	0	0	0	5.52132418802e-58
S1056	0	1.0	0	0	0	5.11807956927e-58
S10563	0	1.0	0	0	0	5.16170466523e-58
S10574	0	1.0	0	0	0	4.94555220403e-58
S10576	0	1.0	0	0	0	5.96727610906e-58
S10578	0	1.0	0	0	0	5.90446616823e-58
S10579	0	1.0	0	0	0	5.51667973465e-58
S10582	0	1.0	0	0	0	5.20313750194e-58
S1059	0	1.0	0	0	0	5.22123260166e-58
S10599	0	1.0	0	0	0	5.22682975292e-58
S10611	0	1.0	0	0	0	5.50409230973e-58
S10614	0	1.0	0	0	0	5.32000977257e-58
S10624	0	1.0	0	0	0	5.6370047168e-58
S10632	0	1.0	0	0	0	6.17154044566e-58
S10634	0	1.0	0	0	0	5.36390183517e-58
S10638	0	1.0	0	0	0	5.44597939892e-58
S10644	0	1.0	0	0	0	4.89948617395e-58
S10649	0	1.0	0	0	0	5.55873026136e-58
S10652	0	1.0	0	0	0	5.82690503491e-58
S10654	0	1.0	0	0	0	5.26340625139e-58
S10655	0	1.0	0	0	0	5.36149412243e-58
S10656	0	1.0	0	0	0	4.68281002007e-58
S10657	0	1.0	0	0	0	6.1409106523e-58
S10658	0	1.0	0	0	0	4.78386676359e-58
S10660	0	1.0	0	0	0	5.78101080765e-58
S10661	0	1.0	0	0	0	5.1198780819e-58
S10676	0	1.0	0	0	0	5.71398162198e-58
S1068	0	1.0	0	0	0	4.9589947194e-58
S10681	0	1.0	0	0	0	6.2068953435e-58
S10686	0	1.0	0	0	0	6.27961946826e-58
S10688	0	1.0	0	0	0	4.83455128611e-58
S10690	0	1.0	0	0	0	5.97923294075e-58
S10698	0	1.0	0	0	0	4.91721961546e-58
S107	0	1.0	0	0	0	5.09302972342e-58
S10703	0	1.0	0	0	0	5.02848999034e-58
S10726	0	1.0	0	0	0	5.41125191428e-58
S10729	0	1.0	0	0	0	6.05036904658e-58
S10733	0	1.0	0	0	0	5.11807791817e-58
S10734	0	1.0	0	0	0	5.34924975398e-58
S10735	0	1.0	0	0	0	5.56978668247e-58
S10740	0	1.0	0	0	0	5.08897526303e-58
S10745	0	1.0	0	0	0	5.89205438717e-58
S10748	0	1.0	0	0	0	5.67057977032e-58
S10753	0	1.0	0	0	0	4.81773773792e-58
S10756	0	1.0	0	0	0	5.22792843565e-58
S10757	0	1.0	0	0	0	4.57178018626e-58
S1076	0	1.0	0	0	0	5.17827872306e-58
S10764	0	1.0	0	0	0	6.09855538603e-58
S10767	0	1.0	0	0	0	5.30263548347e-58
S10776	0	1.0	0	0	0	5.17374482701e-58
S10778	0	1.0	0	0	0	5.04200264488e-58
S10784	0	1.0	0	0	0	5.45260239619e-58
S10787	0	1.0	0	0	0	5.55353482959e-58
S10800	0	1.0	0	0	0	5.10036335977e-58
S10805	0	1.0	0	0	0	5.93636037694e-58
S10813	0	1.0	0	0	0	5.53919073778e-58
S10814	0	1.0	0	0	0	6.42683961499e-58
S10815	0	1.0	0	0	0	5.3759469297e-58
S10817	0	1.0	0	0	0	5.72758239154e-58
S1083	0	1.0	0	0	0	5.03525984619e-58
S10835	0	1.0	0	0	0	5.81123906682e-58
S10838	0	1.0	0	0	0	5.44519362698e-58
S10844	0	1.0	0	0	0	5.47753077302e-58
S10845	0	1.0	0	0	0	5.67655215336e-58
S10846	0	1.0	0	0	0	5.04978917183e-58
S10853	0	1.0	0	0	0	6.2548932539e-58
S10854	0	1.0	0	0	0	4.91542394304e-58
S10865	0	1.0	0	0	0	5.33378196558e-58
S10866	0	1.0	0	0	0	5.30005205381e-58
S10869	0	1.0	0	0	0	5.78219733354e-58
S10873	0	1.0	0	0	0	5.71511865445e-58
S10876	0	1.0	0	0	0	4.88804477933e-58
S10883	0	1.0	0	0	0	5.9773539696e-58
S10885	0	1.0	0	0	0	5.69181513144e-58
S10893	0	1.0	0	0	0	5.47058440392e-58
S10895	0	1.0	0	0	0	5.39614584094e-58
S10902	0	1.0	0	0	0	5.84595467104e-58
S10903	0	1.0	0	0	0	5.8836360579e-58
S1092	0	1.0	0	0	0	5.30233176864e-58
S10925	0	1.0	0	0	0	5.71708072383e-58
S10927	0	1.0	0	0	0	4.97826602734e-58
S10936	0	1.0	0	0	0	4.96143326899e-58
S10945	0	1.0	0	0	0	5.00960340649e-58
S10947	0	1.0	0	0	0	6.201603133e-58
S10949	0	1.0	0	0	0	5.22649418072e-58
S1095	0	1.0	0	0	0	6.46802741439e-58
S10961	0	1.0	0	0	0	6.01458588759e-58
S10969	0	1.0	0	0	0	5.03829212797e-58
S10972	0	1.0	0	0	0	5.59156283544e-58
S10973	0	1.0	0	0	0	5.58696989643e-58
S10978	0	1.0	0	0	0	5.28411487676e-58
S10979	0	1.0	0	0	0	5.30484520268e-58
S10986	0	1.0	0	0	0	5.81286212702e-58
S10989	0	1.0	0	0	0	5.26625028339e-58
S10995	0	1.0	0	0	0	4.93465758142e-58
S11005	0	1.0	0	0	0	5.58365525316e-58
S11008	0	1.0	0	0	0	5.63303161745e-58
S11010	0	1.0	0	0	0	5.95086603547e-58
S11013	0	1.0	0	0	0	5.05806413765e-58
S11016	0	1.0	0	0	0	5.21439417854e-58
S11017	0	1.0	0	0	0	5.47498663907e-58
S11020	0	1.0	0	0	0	5.08519950962e-58
S11027	0	1.0	0	0	0	5.56496825393e-58
S11035	0	1.0	0	0	0	5.70529202637e-58
S11041	0	1.0	0	0	0	5.31648148083e-58
S1106	0	1.0	0	0	0	5.2227869501e-58
S11071	0	1.0	0	0	0	4.82862807964e-58
S11076	0	1.0	0	0	0	5.53507114721e-58
S11078	0	1.0	0	0	0	5.40504187715e-58
S11081	0	1.0	0	0	0	5.32968978616e-58
S11086	0	1.0	0	0	0	5.67832742644e-58
S1109	0	1.0	0	0	0	5.15212634465e-58
S11096	0	1.0	0	0	0	5.52106537781e-58
S11100	0	1.0	0	0	0	5.34537464634e-58
S11107	0	1.0	0	0	0	5.40481549574e-58
S11109	0	1.0	0	0	0	6.02341877632e-58
S1111	0	1.0	0	0	0	5.28503434035e-58
S11119	0	1.0	0	0	0	5.60834961557e-58
S11127	0	1.0	0	0	0	5.34254118999e-58
S11136	0	1.0	0	0	0	5.56218200443e-58
S11147	0	1.0	0	0	0	5.42837125189e-58
S11150	0	1.0	0	0	0	5.37117772311e-58
S11152	0	1.0	0	0	0	6.03304998428e-58
S1116	0	1.0	0	0	0	4.7137891137e-58
S11163	0	1.0	0	0	0	5.01444702721e-58
S11164	0	1.0	0	0	0	5.83011725933e-58
S11166	0	1.0	0	0	0	7.38641597827e-58
S11173	0	1.0	0	0	0	5.12542767962e-58
S11174	0	1.0	0	0	0	5.39953685732e-58
S11182	0	1.0	0	0	0	4.8012004076e-58
S11188	0	1.0	0	0	0	5.41456611331e-58
S11189	0	1.0	0	0	0	4.8495216178e-58
S1119	0	1.0	0	0	0	4.98881354191e-58
S11195	0	1.0	0	0	0	4.6166887598e-58
S11197	0	1.0	0	0	0	5.71144362938e-58
S11198	0	1.0	0	0	0	5.88372922884e-58
S11211	0	1.0	0	0	0	5.43721720642e-58
S11214	0	1.0	0	0	0	5.79534026177e-58
S11216	0	1.0	0	0	0	4.93331193575e-58
S11224	0	1.0	0	0	0	5.39533764751e-58
S11236	0	1.0	0	0	0	5.08460107084e-58
S11241	0	1.0	0	0	0	6.03549018775e-58
S11243	0	1.0	0	0	0	5.50377844924e-58
S11245	0	1.0	0	0	0	6.07995004338e-58
S11249	0	1.0	0	0	0	5.60911972758e-58
S11274	0	1.0	0	0	0	6.57256332498e-58
