	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S10001	1.66877906287e-73	1.0	6.09238872087e-89	0	0	0
S10006	1.24959829581e-73	1.0	4.00233333767e-89	0	0	0
S1001	1.46699544458e-73	1.0	5.13527425848e-89	0	0	0
S10010	4.34991080758e-73	1.0	9.19760343073e-89	0	0	0
S10011	1.81891569471e-73	1.0	5.17075397057e-89	0	0	0
S10014	2.0188429388e-73	1.0	5.55514535583e-89	0	0	0
S10026	1.51520646449e-73	1.0	4.33147381249e-89	0	0	0
S10032	2.03268381351e-73	1.0	8.06304437293e-89	0	0	0
S10036	1.13821376656e-73	1.0	3.05204167422e-89	0	0	0
S10042	1.6644058315e-73	1.0	5.82365407351e-89	0	0	0
S10044	1.66138429243e-73	1.0	4.44980257209e-89	0	0	0
S10049	1.14644281224e-73	1.0	4.49625750245e-89	0	0	0
S10057	1.24518870124e-73	1.0	6.03989999149e-89	0	0	0
S10062	1.53705031389e-73	1.0	5.92990090081e-89	0	0	0
S10066	2.5795282532e-73	1.0	6.76242799884e-89	0	0	0
S10067	6.84618191985e-74	1.0	3.91887981378e-89	0	0	0
S1007	1.42718418533e-73	1.0	5.857051832e-89	0	0	0
S10073	1.21486845243e-73	1.0	3.70624433622e-89	0	0	0
S10077	1.85013260461e-73	1.0	8.31283933467e-89	0	0	0
S10080	1.89472151773e-73	1.0	7.33675102823e-89	0	0	0
S10082	1.57789379692e-73	1.0	5.01010669845e-89	0	0	0
S10087	1.29780954051e-73	1.0	4.87394958524e-89	0	0	0
S10089	1.65298259499e-73	1.0	6.9519032054e-89	0	0	0
S1009	1.46218061861e-73	1.0	5.28379561334e-89	0	0	0
S10090	1.51392418848e-73	1.0	5.71798959606e-89	0	0	0
S10093	2.70069117535e-73	1.0	8.85714248864e-89	0	0	0
S10094	1.36653416926e-73	1.0	6.33615661088e-89	0	0	0
S1010	9.10246174001e-74	1.0	5.18894530261e-89	0	0	0
S10111	1.17266665074e-73	1.0	3.97670808048e-89	0	0	0
S10116	8.72198658623e-74	1.0	4.62298493626e-89	0	0	0
S10119	1.3444018109e-73	1.0	4.74861895759e-89	0	0	0
S10121	1.73812979509e-73	1.0	6.75860107313e-89	0	0	0
S10130	2.54559005643e-73	1.0	9.4983351425e-89	0	0	0
S10140	4.2653930109e-73	1.0	8.8917948408e-89	0	0	0
S10142	1.30098119188e-73	1.0	5.83779949797e-89	0	0	0
S10150	4.95821741415e-73	1.0	9.78479298469e-89	0	0	0
S10155	1.18136702492e-73	1.0	4.10469396247e-89	0	0	0
S1016	1.91408811821e-73	1.0	6.53350880145e-89	0	0	0
S10163	2.87514719896e-73	1.0	7.38411315737e-89	0	0	0
S10167	2.18577206447e-73	1.0	8.34150669027e-89	0	0	0
S10168	1.1061523532e-73	1.0	5.51084924633e-89	0	0	0
S10173	1.09409875398e-73	1.0	3.57251811887e-89	0	0	0
S10175	1.62675851505e-73	1.0	6.08577640054e-89	0	0	0
S10179	7.55737568837e-74	1.0	3.90780369048e-89	0	0	0
S10186	6.94216349785e-74	1.0	4.10203934134e-89	0	0	0
S1019	9.98120442116e-74	1.0	5.4782862891e-89	0	0	0
S10190	9.70432723852e-74	1.0	3.36488685555e-89	0	0	0
S10195	1.39842230893e-73	1.0	4.65745338033e-89	0	0	0
S10196	1.64323972321e-73	1.0	4.66585453002e-89	0	0	0
