	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_1	0.0146	0.1644	0.3833	0	0	0.0724	0.0661	0.1638
mix_2	0.0228	0.1872	0.2189	0	0	0.0619	0.1209	0.2373
mix_3	0.0037	0.1724	0.0836	0	0	0.1527	0.1561	0.261
mix_4	0.0	0.4571	0.1817	0	0	0.0088	0.0341	0.1789
mix_5	0.0	0.3091	0.1826	0	0	0.0567	0.0939	0.1929
mix_6	0.0008	0.4029	0.2431	0	0	0.0087	0.0444	0.1561
mix_7	0.0	0.2242	0.15	0	0	0.0994	0.1394	0.208
mix_8	0.0188	0.1729	0.2355	0	0	0.0827	0.1296	0.2179
mix_9	0.0	0.4306	0.2795	0	0	0.0	0.0	0.1751
mix_10	0.0	0.458	0.0602	0	0	0.0611	0.0737	0.2042
mix_11	0.0135	0.2363	0.3285	0	0	0.042	0.0409	0.2093
mix_12	0.0	0.403	0.1676	0	0	0.0473	0.0899	0.1493
mix_13	0.0128	0.5518	0.1351	0	0	0.0098	0.0347	0.1605
mix_14	0.005	0.4898	0.1783	0	0	0.0079	0.0027	0.2032
mix_15	0.0025	0.282	0.209	0	0	0.0646	0.0945	0.1909
mix_16	0.004	0.1755	0.0585	0	0	0.1415	0.138	0.2936
mix_17	0.0097	0.2498	0.0199	0	0	0.1276	0.1597	0.2599
mix_18	0.0095	0.504	0.0386	0	0	0.0586	0.0795	0.2014
mix_19	0.016	0.1709	0.1194	0	0	0.15	0.1522	0.2321
mix_20	0.0142	0.4095	0.2188	0	0	0.0091	0.0336	0.1868
mix_21	0.003	0.4071	0.0452	0	0	0.0894	0.1128	0.196
mix_22	0.0	0.3393	0.2699	0	0	0.0397	0.0622	0.1595
mix_23	0.0185	0.4029	0.24	0	0	0.0156	0.0237	0.1791
mix_24	0.0	0.3866	0.1508	0	0	0.05	0.0877	0.1688
mix_25	0.0	0.4646	0.2484	0	0	0.0	0.0	0.178
mix_26	0.0054	0.3751	0.0291	0	0	0.118	0.1214	0.2079
mix_27	0.0	0.3198	0.3122	0	0	0.026	0.0242	0.1828
mix_28	0.0032	0.3975	0.1844	0	0	0.0232	0.0562	0.1863
mix_29	0.0069	0.2209	0.3372	0	0	0.0488	0.0753	0.1697
mix_30	0.0	0.4652	0.206	0	0	0.0057	0.0287	0.173
mix_31	0.009	0.4077	0.1881	0	0	0.0406	0.0775	0.1523
mix_32	0.0	0.5363	0.1591	0	0	0.0054	0.0068	0.1868
mix_33	0.0151	0.4561	0.1044	0	0	0.0795	0.0636	0.1555
mix_34	0.011	0.2875	0.0386	0	0	0.1267	0.161	0.2395
mix_35	0.0015	0.3846	0.2106	0	0	0.0217	0.094	0.1523
mix_36	0.0	0.3411	0.1739	0	0	0.0614	0.0913	0.1818
mix_37	0.0028	0.2573	0.1045	0	0	0.1066	0.1375	0.2328
mix_38	0.0005	0.2206	0.172	0	0	0.1099	0.1101	0.2195
mix_39	0.0041	0.375	0.2257	0	0	0.0156	0.0695	0.1633
mix_40	0.0	0.406	0.1452	0	0	0.0572	0.0799	0.1728
mix_41	0.0068	0.3229	0.0605	0	0	0.1183	0.1165	0.2347
mix_42	0.0049	0.6188	0.0612	0	0	0.0	0.0288	0.1875
mix_43	0.0022	0.3806	0.042	0	0	0.0968	0.1037	0.238
mix_44	0.0173	0.3406	0.2451	0	0	0.0331	0.0354	0.1943
mix_45	0.0	0.2764	0.2182	0	0	0.0443	0.1285	0.1835
mix_46	0.004	0.3561	0.1262	0	0	0.1203	0.0824	0.177
mix_47	0.0215	0.1083	0.0214	0	0	0.179	0.1632	0.3393
mix_48	0.0	0.5171	0.0539	0	0	0.034	0.0569	0.2126
mix_49	0.0	0.2854	0.2504	0	0	0.1013	0.0828	0.1628
mix_50	0.0034	0.3735	0.2389	0	0	0.0142	0.0901	0.1433
mix_51	0.0066	0.3119	0.0046	0	0	0.1294	0.1412	0.2467
mix_52	0.0058	0.3086	0.0808	0	0	0.1115	0.1134	0.2299
mix_53	0.0127	0.3188	0.0547	0	0	0.0947	0.0874	0.267
mix_54	0.0	0.4407	0.1281	0	0	0.0378	0.0508	0.2018
mix_55	0.0056	0.4606	0.0529	0	0	0.0743	0.0893	0.1834
mix_56	0.0058	0.4929	0.176	0	0	0.0255	0.0248	0.1618
mix_57	0.0	0.3934	0.2726	0	0	0.006	0.0204	0.1751
mix_58	0.001	0.3529	0.1998	0	0	0.0572	0.0808	0.1586
mix_59	0.0	0.2611	0.0433	0	0	0.1182	0.1514	0.2576
mix_60	0.0104	0.4514	0.1014	0	0	0.0617	0.0506	0.1999
mix_61	0.0	0.3555	0.1528	0	0	0.0535	0.0781	0.2001
mix_62	0.0	0.2706	0.1138	0	0	0.1317	0.1153	0.2117
mix_63	0.0	0.4014	0.1857	0	0	0.0463	0.0698	0.1542
mix_64	0.0166	0.116	0.0171	0	0	0.1562	0.1696	0.3514
mix_65	0.0176	0.2513	0.082	0	0	0.1344	0.1208	0.2385
mix_66	0.0044	0.2101	0.1483	0	0	0.1039	0.1298	0.2533
mix_67	0.0052	0.232	0.2672	0	0	0.0771	0.0474	0.2142
mix_68	0.0086	0.3173	0.1118	0	0	0.0851	0.1239	0.199
mix_69	0.0057	0.4396	0.1433	0	0	0.0154	0.052	0.1982
mix_70	0.0076	0.3342	0.0354	0	0	0.1189	0.1356	0.218
mix_71	0.0027	0.2606	0.1499	0	0	0.1058	0.1112	0.214
