	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	8.36855977893	9.04320546454	8.89237916857	8.13058353792	8.97104746428	8.91904670851	0
B	8.39213199172	9.08566516781	8.84997267478	8.17339160284	8.99436802519	8.92883574013	0
C	7.58811641178	7.10473758898	8.70991693127	6.64541300364	9.56226928734	9.11248415462	0
D	7.59745119621	7.01958077944	8.71107347324	6.55874755981	9.55760252811	9.16969224237	0
E	7.67831432285	7.78976	9.20994982712	7.23397402739	9.48666511201	9.4045953149	0
F	7.6399645604	8.22288	9.7544211121	7.56076	8.64716563277	9.21147203441	0
G	8.24141153606	9.70013796432	8.14264793727	9.24858621354	8.17521153606	8.15052753022	0
H	7.86248312495	9.75235091301	7.35558	8.20638455702	7.60465246661	7.46246	0
I	7.8799942493	9.76498173261	7.35308	8.2249081241	7.61451408065	7.40685425184	0
J	7.3985129043	5.57381951602	8.27887546327	5.60654696255	9.50814709147	8.79703891453	0
K	7.43887703441	5.54688360047	9.12416561966	5.59362407854	9.5108545325	9.42710966523	0
L	7.0020612406	6.527	8.1881510842	6.1993	9.33196120467	8.76590120467	0
