	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.19375223802	0	0	0	0.11833557402	0.39437065461	0
B	0.204679546597	0	0	0	0.121861577626	0.390286401484	0
C	0.131303229704	0	0	0	0.333725120627	0.369592005897	0
D	0.132216520083	0	0	0	0.333285535552	0.37572259839	0
E	0.126428233668	0	0	0	0.154157918541	0.525304392428	0
F	0.136084725318	0	0	0	0.114642889406	0.476644068686	0
G	0.206942626436	0	0	0	0.0968076297231	0.265669084761	0
H	0.195560135627	0	0	0	0.129058690624	0.18621625001	0
I	0.191664590252	0	0	0	0.129621791618	0.184860273043	0
J	0.140520969037	0	0	0	0.457342657869	0.252639887136	0
K	0.134381873136	0	0	0	0.207694418782	0.537848975379	0
L	0.0777592802595	0	0	0	0.437319521845	0.252288066029	0
