	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.1387	0.2751	0.1775	0.0242	0.3424	0.0421	0
B	0.1464	0.298	0.1598	0.0243	0.2932	0.0782	0
C	0.0408	0.0	0.0659	0.0003	0.7781	0.1149	0
D	0.0318	0.0	0.102	0.0017	0.7299	0.1346	0
E	0.0206	0.0	0.1871	0.0258	0.3671	0.3995	0
F	0.0305	0.0694	0.6961	0.0178	0.1861	0.0	0
G	0.0811	0.3809	0.0781	0.2736	0.1864	0.0	0
H	0.0548	0.7358	0.0221	0.0179	0.1694	0.0	0
I	0.0722	0.7406	0.0253	0.023	0.1389	0.0	0
J	0.0214	0.0	0.0447	0.0	0.9125	0.0213	0
K	0.0184	0.0	0.1142	0.0	0.3885	0.4788	0
L	0.0	0.0	0.1249	0.0084	0.8667	0.0	0
