	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	2.32164280805e-34	4.33888011241e-116	1.0	4.8114357235e-82	1.52586301863e-19	0.0	0
B	2.36878297417e-34	4.33437123303e-116	1.0	5.73469777168e-82	1.50173000275e-19	0.0	0
C	2.01830754565e-34	3.71645761092e-116	1.0	3.82071449559e-82	6.17579751892e-19	0.0	0
D	2.20862123442e-34	3.46452137427e-116	1.0	3.52645212964e-82	5.77421750653e-19	0.0	0
E	1.14325404702e-34	2.38854244215e-116	1.0	2.87182423806e-82	1.86106114121e-19	0.0	0
F	4.73732983002e-35	1.13949668103e-116	1.0	1.47398051769e-82	1.49386890322e-20	0.0	0
G	4.11287158066e-34	1.00397821291e-115	1.0	3.20790763057e-81	1.66223626047e-19	0.0	0
H	4.65617740099e-34	1.92027529221e-115	1.0	9.93636007984e-82	1.91205689526e-19	0.0	0
I	5.16993458458e-34	2.22077201857e-115	1.0	1.37379273561e-81	2.2285810846e-19	0.0	0
J	7.60077235622e-34	8.25245132214e-116	1.0	4.74601761701e-82	2.12236352284e-18	0.0	0
K	2.30720472809e-34	2.30615485359e-116	1.0	2.23374957653e-82	3.57545154751e-19	0.0	0
L	2.40518193229e-34	7.54745050221e-116	1.0	8.1856243205e-82	1.89565622637e-18	0.0	0
