	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0654	0.3871	0.1107	0.0581	0.3152	0.0635	0
B	0.0611	0.3973	0.1096	0.0547	0.3204	0.057	0
C	0.0	0.1526	0.0121	0.0	0.6936	0.1417	0
D	0.0	0.161	0.0198	0.0	0.7404	0.0789	0
E	0.0	0.1852	0.1853	0.015	0.2852	0.3294	0
F	0.0181	0.312	0.4435	0.0038	0.0627	0.1598	0
G	0.0159	0.5249	0.0129	0.3026	0.1437	0.0	0
H	0.0	0.7436	0.058	0.047	0.1515	0.0	0
I	0.0252	0.7574	0.05	0.0465	0.121	0.0	0
J	0.0	0.1079	0.0	0.0	0.8918	0.0002	0
K	0.0299	0.1331	0.1468	0.0	0.3219	0.3684	0
L	0.0	0.1344	0.0346	0.0006	0.7805	0.05	0
