Tool	Reference	SampleName	CellType	Prediction	Answer	Error	SqError
Cibersort	10XImmune.tsv	F	Monocytes	0	0.055	0.055	0.003025
Cibersort	10XImmune.tsv	F	NK Cells	0.378646725687	0.885	0.506353274313	0.256393638407
Cibersort	10XImmune.tsv	F	Neutrophils	0	0.017	0.017	0.000289
Cibersort	10XImmune.tsv	F	CD4 T Cells	0.303417267155	0.011	0.292417267155	0.0855078581304
Cibersort	10XImmune.tsv	F	CD8 T Cell	0.19400444942	0.005	0.18900444942	0.0357226819006
Cibersort	10XImmune.tsv	G	B Cells	0	0.159	0.159	0.025281
Cibersort	10XImmune.tsv	G	Monocytes	0	0.319	0.319	0.101761
Cibersort	10XImmune.tsv	G	NK Cells	0.183624775811	0.016	0.167624775811	0.0280980654657
Cibersort	10XImmune.tsv	G	Neutrophils	0	0.395	0.395	0.156025
Cibersort	10XImmune.tsv	G	CD4 T Cells	0.409838957151	0.08	0.329838957151	0.108793737654
Cibersort	10XImmune.tsv	G	CD8 T Cell	0.123105008959	0.032	0.091105008959	0.00830012265742
Cibersort	10XImmune.tsv	H	B Cells	0	0.1	0.1	0.01
Cibersort	10XImmune.tsv	H	Monocytes	0	0.813	0.813	0.660969
Cibersort	10XImmune.tsv	H	NK Cells	0.174168361933	0.01	0.164168361933	0.0269512510598
Cibersort	10XImmune.tsv	H	Neutrophils	0	0.001	0.001	1e-06
Cibersort	10XImmune.tsv	H	CD4 T Cells	0.281597257705	0.05	0.231597257705	0.0536372897765
Cibersort	10XImmune.tsv	H	CD8 T Cell	0.189917368564	0.025	0.164917368564	0.0271977384541
Cibersort	10XImmune.tsv	I	B Cells	0	0.1	0.1	0.01
Cibersort	10XImmune.tsv	I	Monocytes	0	0.813	0.813	0.660969
Cibersort	10XImmune.tsv	I	NK Cells	0.171498766327	0.01	0.161498766327	0.0260818515251
Cibersort	10XImmune.tsv	I	Neutrophils	0	0.001	0.001	1e-06
Cibersort	10XImmune.tsv	I	CD4 T Cells	0.265003502835	0.05	0.215003502835	0.0462265062313
Cibersort	10XImmune.tsv	I	CD8 T Cell	0.166311391561	0.025	0.141311391561	0.0199689093849
Cibersort	10XImmune.tsv	J	B Cells	0	0	0.0	0.0
Cibersort	10XImmune.tsv	J	Monocytes	0	0	0.0	0.0
Cibersort	10XImmune.tsv	J	NK Cells	0.17232515302	0	0.17232515302	0.0296959583634
Cibersort	10XImmune.tsv	J	Neutrophils	0	0	0.0	0.0
Cibersort	10XImmune.tsv	J	CD4 T Cells	0.809725133211	1	0.190274866789	0.0362045249316
Cibersort	10XImmune.tsv	J	CD8 T Cell	0.0	0	0.0	0.0
Cibersort	10XImmune.tsv	K	B Cells	0	0	0.0	0.0
Cibersort	10XImmune.tsv	K	Monocytes	0	0	0.0	0.0
Cibersort	10XImmune.tsv	K	NK Cells	0.257134531663	0	0.257134531663	0.0661181673736
Cibersort	10XImmune.tsv	K	Neutrophils	0	0	0.0	0.0
Cibersort	10XImmune.tsv	K	CD4 T Cells	0.716508098297	0	0.716508098297	0.513383854925
Cibersort	10XImmune.tsv	K	CD8 T Cell	0.0112743790568	1	0.988725620943	0.97757835351
Cibersort	10XImmune.tsv	L	B Cells	0	0	0.0	0.0
Cibersort	10XImmune.tsv	L	Monocytes	0	0	0.0	0.0
Cibersort	10XImmune.tsv	L	NK Cells	0.159256675439	0	0.159256675439	0.0253626886719
Cibersort	10XImmune.tsv	L	Neutrophils	0	0	0.0	0.0
Cibersort	10XImmune.tsv	L	CD4 T Cells	0.789342713084	1	0.210657286916	0.0443764925308
Cibersort	10XImmune.tsv	L	CD8 T Cell	0.0	0	0.0	0.0
Cibersort	BlueCodeV1.tsv	A	B Cells	0.0	0.194	0.194	0.037636
Cibersort	BlueCodeV1.tsv	A	Monocytes	0.263960286915	0.194	0.069960286915	0.00489444174523
Cibersort	BlueCodeV1.tsv	A	NK Cells	0.0	0.194	0.194	0.037636
Cibersort	BlueCodeV1.tsv	A	Neutrophils	0.0	0.03	0.03	0.0009
Cibersort	BlueCodeV1.tsv	A	CD4 T Cells	0.16552396525	0.194	0.02847603475	0.000810884555083
Cibersort	BlueCodeV1.tsv	A	CD8 T Cell	0.086252537338	0.194	0.107747462662	0.0116095157101
Cibersort	BlueCodeV1.tsv	B	B Cells	0.0	0.194	0.194	0.037636
