	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0	0.0	0.0	0.0	0.0	0.0	0.255882623588
B	0.0	0.0	0.0	0.0	0.0	0.0	0.251155851523
C	0.0748955126202	0.0	0.0	0.0	0.0	0.0	0.268136876105
D	0.0799775729721	0.0	0.0	0.0	0.0	0.0	0.26601915798
E	0.05767159264	0.0	0.0	0.0	0.0	0.0	0.255996735948
F	0.0119459769768	0.0	0.0	0.0	0.0	0.0	0.259079258146
G	0.0	0.0	0.0	0.0	0.0	0.0	0.243699314287
H	0.0	0.0	0.0	0.0	0.0	0.0	0.242042362684
I	0.0	0.0	0.0	0.0	0.0	0.0	0.245242861878
J	0.11577169424	0.0	0.0	0.0	0.0	0.0	0.267264425255
K	0.120233983764	0.0	0.0	0.0	0.0	0.0	0.269263256116
L	0.0567944026367	0.0	0.0	0.0	0.0	0.0	0.256799733432
