	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.2012	0.3436	0.1351	0	0.256	0.0641	0
B	0.1991	0.3495	0.1233	0	0.2288	0.0993	0
C	0.0482	0.0574	0.0718	0	0.7708	0.0518	0
D	0.046	0.0471	0.0751	0	0.7737	0.0581	0
E	0.0641	0.1091	0.1393	0	0.292	0.3956	0
F	0.0684	0.1949	0.5803	0	0.1564	0.0	0
G	0.1815	0.5506	0.0758	0	0.1487	0.0433	0
H	0.1088	0.6714	0.0509	0	0.144	0.0248	0
I	0.1201	0.6831	0.0591	0	0.0849	0.0528	0
J	0.0427	0.0268	0.0344	0	0.851	0.0451	0
K	0.0544	0.025	0.0974	0	0.2671	0.556	0
L	0.0426	0.048	0.0684	0	0.8252	0.0158	0
