	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0273072078583	0.325335964051	0.0	0.0	0.0	0.554746128766	0.0652288686512
B	0.0158090548406	0.319233364749	0.0	0.0	0.0	0.531386382622	0.0750106762303
C	0.0	0.13180226248	0.0	0.0	0.0985509000897	0.673836479891	0.0673901195644
D	0.0	0.124439698134	0.0	0.0	0.108317638238	0.669657158976	0.0622636557409
E	0.0	0.142436639815	0.0	0.0	0.0	0.768677727701	0.0666281886003
F	0.0	0.200602458585	0.127875650935	0.0	0.0	0.548197544306	0.0650406540054
G	0.0242093776504	0.377247536633	0.0	0.0950671599927	0.0	0.399422978114	0.0747544529889
H	0.00872905189822	0.529389034496	0.0	0.0	0.0	0.353661843729	0.0806633232526
I	0.0097410191352	0.533976067159	0.0	0.0	0.0	0.353746262874	0.0741364754068
J	0.0	0.0761382459803	0.0	0.0	0.18016021323	0.644684929927	0.0649339308629
K	0.0	0.071073770275	0.0	0.0	0.0	0.773169702559	0.107017257652
L	0.0	0.146718058698	0.0	0.0	0.0669070847272	0.611473728833	0.118645962246
