	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0247716916598	0.0244726568512	0.211673271084	0.141941060707	0.0754228795496	0.0	0.393183279748
B	0.0278587683805	0.0238708064223	0.210751044969	0.144419316842	0.0748653269551	0.0	0.388522169954
C	0.017718856957	0.00851528004493	0.2079107235	0.119256435342	0.12343984318	0.0	0.381446769513
D	0.0196839932616	0.00912340560041	0.210904013849	0.118765625071	0.123560903023	0.0	0.380887557115
E	0.0189041929544	0.0139046408331	0.229115716018	0.126878079047	0.0938715395926	0.00142864422912	0.385709157604
F	0.0259553394521	0.0173605062737	0.262036260889	0.134870020341	0.0472823128881	0.0	0.378612152061
G	0.0282154815863	0.0206025550826	0.183997151579	0.183382636922	0.0591472983257	0.0	0.394466274772
H	0.0278701264263	0.0409063889045	0.179215102282	0.14235422471	0.0615370121426	0.0	0.408089710912
I	0.026459389011	0.0411907817185	0.176981048082	0.143555791715	0.0629954314314	0.0	0.411407060616
J	0.0229783490071	0.0	0.184831826527	0.0999097784102	0.145505986227	0.0	0.400138673955
K	0.0236245192914	0.0	0.240565169769	0.0976839389522	0.10574438311	0.00696403257877	0.381365809436
L	0.0126976993738	0.00180758614564	0.174703206556	0.123860592227	0.144078423852	0.0	0.39016518925
