	Neutrophils	Lymphocyte	Monocytes	Other
S10001	0.1656	0.41	0.1283	0.2961
S10006	0.2075	0.3928	0.0494	0.3502
S1001	0.1459	0.4054	0.1384	0.3104
S10010	0.2292	0.3542	0.1458	0.2707
S10011	0.1704	0.4411	0.1026	0.2861
S10014	0.1989	0.4195	0.0942	0.2875
S10026	0.1803	0.4082	0.1363	0.275
S10032	0.1455	0.3653	0.2047	0.2846
S10036	0.2141	0.3927	0.0773	0.316
S10042	0.1852	0.409	0.1006	0.305
S10044	0.2176	0.3973	0.0993	0.2857
S10049	0.1681	0.4277	0.122	0.2822
S10057	0.1536	0.439	0.0489	0.3584
S10062	0.157	0.3992	0.155	0.2889
S10066	0.2512	0.3467	0.1245	0.2777
S10067	0.1292	0.4922	0.1136	0.265
S1007	0.1848	0.4048	0.0896	0.3209
S10073	0.142	0.5031	0.1067	0.2482
S10077	0.1584	0.4115	0.1468	0.2833
S10080	0.1768	0.4098	0.128	0.2854
S10082	0.141	0.4588	0.1248	0.2754
S10087	0.1419	0.4427	0.1525	0.2631
S10089	0.1954	0.4071	0.0818	0.3157
S1009	0.1021	0.5294	0.0952	0.2732
S10090	0.1823	0.4169	0.09	0.3108
S10093	0.2178	0.3577	0.0453	0.3791
S10094	0.1869	0.3798	0.152	0.2813
S1010	0.1489	0.4231	0.1344	0.2936
S10111	0.1491	0.4756	0.1078	0.2675
S10116	0.0773	0.5551	0.0859	0.2817
S10119	0.1552	0.4649	0.0854	0.2945
S10121	0.1543	0.4343	0.1209	0.2907
S10130	0.2008	0.3718	0.1104	0.3173
S10140	0.218	0.3681	0.1345	0.2794
S10142	0.1081	0.4976	0.1187	0.2756
S10150	0.2623	0.3402	0.0802	0.3174
S10155	0.1657	0.4429	0.1105	0.281
S1016	0.1755	0.4044	0.101	0.319
S10163	0.1666	0.4499	0.1017	0.2818
S10167	0.175	0.4274	0.0679	0.3296
S10168	0.1497	0.4972	0.0924	0.2607
S10173	0.1315	0.528	0.0821	0.2583
S10175	0.1912	0.4145	0.1045	0.2899
S10179	0.1153	0.4685	0.1119	0.3041
S10186	0.0835	0.5058	0.1168	0.2936
S1019	0.1395	0.4455	0.1221	0.2929
S10190	0.1372	0.4555	0.1204	0.2871
S10195	0.2202	0.3639	0.0912	0.3248
S10196	0.1824	0.4026	0.1161	0.299
S10200	0.1828	0.3894	0.129	0.2988
S10201	0.2959	0.292	0.0994	0.3126
S10202	0.1612	0.4546	0.107	0.2772
S10205	0.1818	0.4402	0.0942	0.2838
S10211	0.1626	0.3966	0.0877	0.3532
S10221	0.1738	0.4228	0.1018	0.3015
S10222	0.2043	0.387	0.0947	0.3141
S10226	0.1643	0.4133	0.1386	0.284
S10227	0.2081	0.3757	0.1059	0.3102
S10228	0.1632	0.4338	0.1119	0.291
S10232	0.115	0.5167	0.0435	0.3247
S10248	0.1862	0.4289	0.0848	0.3001
S10249	0.215	0.3144	0.1878	0.2829
S1025	0.1286	0.4538	0.1458	0.272
S10266	0.1967	0.3816	0.1109	0.3109
S10269	0.1905	0.4079	0.1139	0.2875
S10272	0.2343	0.3526	0.0784	0.3346
S10273	0.1841	0.4329	0.1084	0.2745
S10274	0.1948	0.3912	0.1085	0.3057
S1028	0.2038	0.402	0.1137	0.2804
S10280	0.1298	0.4625	0.1724	0.2353
S10283	0.0872	0.487	0.1532	0.2723
S1029	0.1492	0.4487	0.1062	0.2958
S10292	0.1391	0.4761	0.078	0.3069
S10294	0.1562	0.4618	0.099	0.2832
S10302	0.1608	0.4366	0.0882	0.3145
S10303	0.1752	0.4329	0.1169	0.2749
S10323	0.167	0.4084	0.1126	0.3118
S10326	0.1776	0.3854	0.1533	0.2839
S10328	0.1427	0.5081	0.0971	0.2521
S10329	0.1463	0.4496	0.132	0.2722
S10336	0.1587	0.4323	0.1277	0.2813
S10340	0.1775	0.4513	0.0948	0.2763
S10347	0.1707	0.4193	0.0783	0.3318
S10353	0.1691	0.4137	0.1201	0.2971
S10356	0.1367	0.4499	0.116	0.2978
S10358	0.1727	0.3803	0.1476	0.2995
S10365	0.2017	0.3895	0.112	0.2967
S1037	0.0915	0.5446	0.0901	0.2739
S10373	0.1562	0.4532	0.0931	0.2975
S10374	0.1913	0.3796	0.0688	0.3603
S10375	0.1844	0.4021	0.1309	0.2827
S10377	0.1582	0.4185	0.0483	0.3751
S10378	0.1733	0.452	0.1183	0.2564
S10390	0.1765	0.4135	0.0459	0.3641
S10391	0.1536	0.3597	0.1107	0.376
S10393	0.1837	0.4128	0.0947	0.3086
S10400	0.1762	0.3842	0.1377	0.3019
S10401	0.1574	0.4282	0.1191	0.2952
S10406	0.2398	0.3045	0.1081	0.3477
S10408	0.1851	0.4255	0.1109	0.2785
S10409	0.1455	0.4472	0.1209	0.2864
S10418	0.2382	0.3341	0.048	0.3798
S10431	0.1753	0.4189	0.093	0.3127
S10438	0.1712	0.4193	0.1028	0.3065
S10439	0.1728	0.386	0.1594	0.2816
S10441	0.179	0.3588	0.1822	0.2798
S10442	0.1659	0.4121	0.1275	0.2946
S1046	0.2263	0.3634	0.1265	0.2838
S10478	0.2486	0.2794	0.1678	0.3042
S10480	0.1008	0.4984	0.0806	0.3202
S10484	0.1917	0.3668	0.1381	0.3034
S10492	0.1222	0.4709	0.1067	0.3003
S10496	0.1379	0.4853	0.1178	0.2591
S10510	0.1646	0.4129	0.1047	0.3176
S10513	0.1649	0.3892	0.1728	0.2732
S10516	0.1599	0.3902	0.1501	0.2996
S10534	0.1482	0.4064	0.1682	0.2771
S10535	0.1313	0.4669	0.1204	0.2815
S10537	0.1549	0.4037	0.1874	0.254
S1054	0.1296	0.4558	0.0906	0.3241
S10543	0.1625	0.4558	0.0841	0.2976
S10546	0.1748	0.4122	0.0898	0.3232
S1055	0.2391	0.3268	0.1068	0.3273
S10551	0.1638	0.4147	0.1226	0.2992
S10552	0.21	0.3428	0.1117	0.3356
S10555	0.1432	0.5211	0.0833	0.2523
S10559	0.1524	0.3767	0.1828	0.2884
S1056	0.1678	0.4367	0.122	0.2735
S10563	0.1904	0.4113	0.1168	0.2814
S10574	0.1156	0.4615	0.1465	0.2763
S10576	0.264	0.3338	0.0899	0.3123
S10578	0.1959	0.3431	0.1082	0.3529
S10579	0.2197	0.3791	0.0979	0.3033
S10582	0.1939	0.4028	0.1221	0.2812
S1059	0.1854	0.4349	0.1103	0.2695
S10599	0.208	0.3513	0.1636	0.2768
S10611	0.1848	0.3868	0.1395	0.2887
S10614	0.2309	0.3571	0.1574	0.2546
S10624	0.151	0.4078	0.1221	0.3191
S10632	0.2069	0.3872	0.0866	0.3192
S10634	0.1801	0.4358	0.1033	0.2808
S10638	0.156	0.4094	0.1619	0.2727
S10644	0.1259	0.4611	0.1329	0.2799
S10649	0.2749	0.3472	0.0816	0.2963
S10652	0.2312	0.3503	0.1188	0.2998
S10654	0.1552	0.4255	0.1309	0.2883
S10655	0.1799	0.4212	0.1184	0.2804
S10656	0.1659	0.4867	0.0965	0.2509
S10657	0.184	0.3945	0.0955	0.3261
S10658	0.2078	0.4357	0.1022	0.254
S10660	0.1043	0.4938	0.0896	0.3123
S10661	0.1417	0.4776	0.0949	0.2855
S10676	0.1943	0.3099	0.1875	0.3085
S1068	0.1238	0.4573	0.1443	0.2747
S10681	0.2113	0.3784	0.0699	0.3403
S10686	0.1664	0.3681	0.1133	0.3521
S10688	0.1302	0.5017	0.1289	0.2393
S10690	0.1665	0.4056	0.1208	0.3071
S10698	0.1213	0.4678	0.1418	0.2689
S107	0.1381	0.4849	0.0955	0.2816
S10703	0.1258	0.4763	0.132	0.2659
S10726	0.1568	0.4494	0.0924	0.3014
S10729	0.1774	0.3639	0.126	0.3327
S10733	0.1827	0.3951	0.1524	0.2699
S10734	0.1266	0.4451	0.1172	0.3113
S10735	0.1693	0.4388	0.0971	0.2948
S10740	0.1967	0.3605	0.1586	0.2842
S10745	0.2162	0.3314	0.1568	0.2958
S10748	0.1475	0.4428	0.1074	0.3021
S10753	0.1602	0.4182	0.1599	0.2616
S10756	0.1656	0.4264	0.1338	0.2742
S10757	0.0873	0.5948	0.0768	0.2411
S1076	0.1686	0.4232	0.1398	0.2684
S10764	0.173	0.3971	0.0915	0.3385
S10767	0.1265	0.4942	0.071	0.3083
S10776	0.2041	0.3849	0.1495	0.2616
S10778	0.2271	0.3911	0.1088	0.273
S10784	0.2486	0.3362	0.164	0.2512
S10787	0.1456	0.4486	0.1046	0.3011
S10800	0.1725	0.4739	0.0848	0.2688
S10805	0.1906	0.375	0.1195	0.3148
S10813	0.1636	0.4103	0.1387	0.2873
S10814	0.2067	0.3848	0.0504	0.358
S10815	0.2131	0.4048	0.0951	0.287
S10817	0.1555	0.4499	0.0713	0.3234
S1083	0.1459	0.4354	0.1446	0.2741
S10835	0.1512	0.3285	0.1863	0.3339
S10838	0.1809	0.3898	0.123	0.3064
S10844	0.1742	0.4436	0.0777	0.3046
S10845	0.1953	0.348	0.1624	0.2943
S10846	0.1004	0.529	0.1084	0.2623
S10853	0.2624	0.2876	0.1227	0.3275
S10854	0.116	0.4739	0.1358	0.2744
S10865	0.1423	0.4275	0.1522	0.278
S10866	0.1834	0.368	0.1422	0.3064
S10869	0.2239	0.3133	0.1854	0.2775
S10873	0.1961	0.4009	0.095	0.308
S10876	0.1463	0.4336	0.1553	0.2649
S10883	0.1948	0.3689	0.1269	0.3094
S10885	0.1981	0.3722	0.0982	0.3316
S10893	0.2159	0.3441	0.1381	0.302
S10895	0.1964	0.3734	0.1493	0.2809
S10902	0.1458	0.4445	0.0839	0.3259
S10903	0.2047	0.3772	0.0921	0.326
S1092	0.228	0.3492	0.1544	0.2684
S10925	0.1606	0.3852	0.1425	0.3116
S10927	0.2014	0.3996	0.1385	0.2607
S10936	0.1192	0.4804	0.1286	0.2718
S10945	0.2157	0.3853	0.1486	0.2505
S10947	0.1765	0.396	0.0719	0.3557
S10949	0.1706	0.4392	0.0833	0.3069
S1095	0.1686	0.3766	0.0853	0.3694
S10961	0.2009	0.3664	0.1128	0.3199
S10969	0.1366	0.45	0.1343	0.279
S10972	0.153	0.4371	0.1166	0.2935
S10973	0.2231	0.3733	0.1151	0.2885
S10978	0.2048	0.4185	0.1025	0.2742
S10979	0.1595	0.4449	0.1226	0.273
S10986	0.1956	0.3807	0.1192	0.3045
S10989	0.182	0.4202	0.1226	0.2752
S10995	0.1934	0.3956	0.1344	0.2765
S11005	0.1486	0.4217	0.1094	0.3204
S11008	0.2045	0.4113	0.0812	0.303
S11010	0.1434	0.4261	0.1041	0.3261
S11013	0.1485	0.4466	0.1328	0.2722
S11016	0.1508	0.4165	0.1356	0.2972
S11017	0.1533	0.3657	0.1868	0.2941
S11020	0.1687	0.4207	0.1314	0.2792
S11027	0.2018	0.3485	0.1598	0.2898
S11035	0.2376	0.3575	0.0929	0.3121
S11041	0.1698	0.4245	0.1112	0.2943
S1106	0.1784	0.4443	0.1036	0.2736
S11071	0.0738	0.5448	0.1146	0.2669
S11076	0.175	0.4333	0.0967	0.295
S11078	0.1978	0.4107	0.1204	0.2713
S11081	0.1465	0.4272	0.1466	0.2797
S11086	0.2044	0.4147	0.0765	0.3043
S1109	0.1737	0.3604	0.189	0.277
S11096	0.2304	0.3435	0.1266	0.2996
S11100	0.1417	0.4656	0.0904	0.3026
S11107	0.2124	0.4051	0.0869	0.2956
S11109	0.2304	0.3378	0.1168	0.3149
S1111	0.1272	0.4556	0.1105	0.3066
S11119	0.1846	0.4098	0.0865	0.3189
S11127	0.1524	0.4133	0.1166	0.3176
S11136	0.1742	0.4454	0.0639	0.3164
S11147	0.2209	0.3802	0.1064	0.2924
S11150	0.244	0.3801	0.0801	0.2957
S11152	0.187	0.3655	0.1252	0.3224
S1116	0.1417	0.495	0.0909	0.2724
S11163	0.1531	0.4751	0.093	0.2788
S11164	0.2091	0.3519	0.1432	0.2958
S11166	0.1364	0.3746	0.0804	0.4087
S11173	0.192	0.408	0.1174	0.2828
S11174	0.1441	0.4345	0.1208	0.3006
S11182	0.1727	0.4755	0.0981	0.2536
S11188	0.2038	0.3585	0.1605	0.2772
S11189	0.187	0.4388	0.1284	0.2458
S1119	0.0948	0.5033	0.1226	0.2792
S11195	0.1344	0.492	0.1186	0.2548
S11197	0.1447	0.4852	0.0681	0.3021
S11198	0.2613	0.3089	0.127	0.3028
S11211	0.1379	0.4356	0.1339	0.2928
S11214	0.1549	0.3729	0.1332	0.339
S11216	0.1877	0.4463	0.1154	0.2507
S11224	0.1836	0.4206	0.11	0.2859
S11236	0.1868	0.4037	0.1373	0.2721
S11241	0.1877	0.389	0.0901	0.333
S11243	0.1621	0.4345	0.1028	0.3005
S11245	0.1819	0.3948	0.0907	0.3326
S11249	0.1399	0.4376	0.1198	0.3029
S11274	0.1673	0.4055	0.0602	0.3669
S11280	0.1231	0.4693	0.1154	0.2923
S11281	0.1405	0.4109	0.1518	0.2968
S11285	0.1605	0.4023	0.1094	0.3279
S11298	0.1288	0.4619	0.0906	0.3188
S11311	0.179	0.4257	0.1209	0.2747
S11312	0.1881	0.4303	0.0981	0.2834
S11316	0.1584	0.4133	0.151	0.2771
S1133	0.1876	0.3989	0.0703	0.3431
S11330	0.1885	0.4494	0.0952	0.2669
S11332	0.1158	0.5521	0.0852	0.2469
S11334	0.1409	0.4205	0.1551	0.2836
S11335	0.2352	0.3909	0.0895	0.2845
S11345	0.153	0.4436	0.0561	0.3473
S11349	0.1551	0.432	0.1332	0.2799
S1135	0.1585	0.3632	0.1839	0.2946
S11352	0.2573	0.3354	0.0923	0.3152
S11353	0.2012	0.3757	0.154	0.2694
S11368	0.2194	0.3173	0.1444	0.3191
S11369	0.1252	0.4347	0.137	0.303
S11371	0.128	0.4619	0.0893	0.3207
S11377	0.1892	0.3291	0.1756	0.306
S11378	0.1489	0.4036	0.1177	0.3295
S11383	0.1435	0.4761	0.1147	0.2654
S11384	0.1471	0.4335	0.0857	0.3337
S11392	0.1648	0.4517	0.1038	0.2798
S1140	0.203	0.3616	0.0874	0.3482
S11410	0.1701	0.4176	0.1347	0.2778
S11411	0.1051	0.5009	0.1279	0.2659
S11414	0.1797	0.4098	0.0729	0.3377
S11419	0.1826	0.3781	0.149	0.2902
S11424	0.143	0.4435	0.1017	0.3119
S11425	0.1516	0.4902	0.0996	0.2586
S11433	0.1227	0.4818	0.1133	0.2822
S11434	0.1526	0.4533	0.113	0.2808
S11436	0.1664	0.387	0.1432	0.3032
S11437	0.1554	0.4741	0.0861	0.2844
S11440	0.2818	0.3196	0.0827	0.316
S11449	0.1741	0.4748	0.1022	0.2491
S11459	0.1258	0.4682	0.1041	0.302
S11477	0.1981	0.3852	0.1256	0.2911
S11480	0.2021	0.3789	0.1159	0.3032
S11486	0.1783	0.4185	0.1268	0.2763
S11501	0.2001	0.3577	0.0782	0.3639
S11504	0.1171	0.4652	0.0915	0.3262
S11507	0.1365	0.4766	0.0662	0.3207
S11518	0.0533	0.5038	0.1721	0.2708
