	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
mix_1	120.446	244.4108	679.0376	3044.696	135.8285	0
mix_2	118.3055	214.8459	684.4439	3251.1601	126.8823	0
mix_3	132.8006	392.9529	707.1689	2166.4425	153.1754	0
mix_4	137.3031	318.7888	683.6637	2498.9448	143.37	0
mix_5	130.1246	331.4371	681.5335	2535.1748	148.5931	0
mix_6	130.2644	288.5744	681.1686	2791.5051	137.0665	0
mix_7	145.6482	340.758	680.7261	2303.6021	149.2781	0
mix_8	139.1584	258.8688	669.4292	2808.1688	128.9351	0
mix_9	123.1926	284.1595	679.4396	2878.5835	142.8525	0
mix_10	150.735	328.4414	684.8531	2314.6212	140.2771	0
mix_11	123.9292	229.3879	674.0932	3174.3498	124.6878	0
mix_12	119.2052	260.662	684.9889	2960.8055	132.3039	0
mix_13	155.707	327.7752	671.2983	2360.6585	148.1043	0
mix_14	152.8523	329.5284	684.3051	2300.6304	143.0642	0
mix_15	151.1103	354.5225	667.7222	2317.0115	160.1681	0
mix_16	133.4583	345.8958	694.928	2353.8131	144.5007	0
mix_17	172.5448	419.2642	692.3815	1768.2467	156.9997	0
mix_18	121.8323	206.5114	684.1188	3356.7698	123.2024	0
mix_19	136.4394	283.379	682.5082	2744.1143	136.6271	0
mix_20	129.7381	451.6287	724.6412	1875.364	166.8516	0
mix_21	138.9549	343.6878	691.0186	2260.2761	145.9747	0
mix_22	139.9069	290.6135	668.0185	2736.0808	142.0386	0
mix_23	142.6534	290.948	677.9183	2642.3178	133.8075	0
mix_24	119.1389	195.8968	680.4202	3568.2783	126.1377	0
mix_25	121.6303	305.0809	705.5298	2592.3703	135.141	0
mix_26	126.5008	432.1103	697.1225	2093.6398	177.3606	0
mix_27	142.8458	218.4726	650.5218	3145.7121	132.8502	0
mix_28	136.4553	431.0491	708.4827	1887.7501	163.1549	0
mix_29	129.1093	294.3981	688.4377	2772.104	139.8666	0
mix_30	131.9005	296.5647	689.1981	2728.5584	139.4363	0
mix_31	127.2722	296.6295	689.833	2734.1068	136.863	0
mix_32	131.2832	328.9542	688.4325	2465.439	145.8408	0
mix_33	132.9525	280.2852	677.4001	2793.7899	137.3052	0
mix_34	119.2627	236.6971	682.303	3105.1594	130.6221	0
mix_35	124.3058	274.7009	684.1413	2810.7254	136.543	0
mix_36	146.5443	347.9137	685.9668	2237.2166	145.6394	0
mix_37	144.8035	333.8989	691.9369	2311.2207	141.6583	0
mix_38	131.1387	415.911	701.0108	2104.2314	163.0762	0
mix_39	150.3615	368.0825	678.9396	2158.5826	160.5599	0
mix_40	133.1114	286.531	676.5544	2781.1733	134.0761	0
mix_41	121.5559	251.8901	678.8294	3015.4224	135.0235	0
mix_42	153.5821	410.4575	691.6832	1886.4375	158.915	0
mix_43	121.4887	344.3534	684.3058	2523.3616	154.0539	0
mix_44	125.4704	360.6221	690.999	2398.2147	151.4962	0
mix_45	117.5433	320.6442	706.5105	2529.8565	137.1224	0
mix_46	131.2675	376.6598	702.3043	2191.1631	158.3816	0
mix_47	134.1284	285.4494	683.2594	2726.2135	132.752	0
mix_48	140.7136	207.6857	643.463	3269.7494	130.5729	0
mix_49	136.9652	258.9519	665.5124	2933.052	136.6195	0
mix_50	143.1154	392.5895	706.106	2018.7745	149.1793	0
mix_51	140.4151	236.8846	653.9142	3043.03	135.353	0
mix_52	158.0887	394.3611	689.714	2024.3485	157.4178	0
mix_53	138.8657	251.28	661.3974	2944.0963	137.3604	0
mix_54	146.7236	397.0148	689.5804	1903.704	157.3295	0
mix_55	136.8467	258.5719	665.9057	2890.1455	134.3175	0
mix_56	128.5728	345.2188	697.3231	2310.7455	141.8469	0
mix_57	117.8677	285.6614	687.5092	2820.5512	139.4723	0
mix_58	133.9048	338.1844	688.1161	2403.6999	149.789	0
mix_59	118.5124	259.0609	683.731	3012.2057	136.2654	0
mix_60	143.8875	304.6032	682.6244	2453.6435	137.3087	0
mix_61	144.554	438.2897	719.9008	1799.7969	161.1872	0
mix_62	140.7325	405.0834	697.139	2045.4127	157.984	0
mix_63	119.1997	272.2685	684.22	2886.7002	134.4799	0
mix_64	135.9198	275.0364	675.7857	2803.4629	129.9439	0
mix_65	128.3455	320.4259	669.8787	2763.2499	152.825	0
mix_66	137.2362	234.9033	655.7222	3053.6508	134.5139	0
mix_67	149.2329	391.3807	682.9284	2084.4587	159.5652	0
mix_68	128.264	376.4337	692.1758	2278.6836	164.8923	0
mix_69	135.1111	266.7124	679.4519	2794.5236	131.7524	0
mix_70	153.1688	264.2285	640.3135	2969.9451	147.6798	0
mix_71	142.2392	219.9143	658.8148	3031.364	124.5518	0
