	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	3.0124464148e-07	0.0167511470554	0.0102963062321	0	9.03307960313e-05	3.98641933699e-06	0.972857928252
B	2.87208961916e-08	0.0169145535345	0.00993967889409	0	0.000305185662568	1.99285162304e-06	0.972838560336
C	9.80939433669e-09	0.0151184743972	0.00982068989339	0	0.00180184795405	4.26735397276e-06	0.973254710592
D	8.01035901771e-09	0.0151947791977	0.00988147263936	0	0.00173605088118	1.06515694258e-07	0.973187582756
E	2.23595599612e-07	0.0156292972383	0.0105305474919	0	0.000846453948932	9.41736664962e-06	0.972984060359
F	2.06175963819e-06	0.0160697551663	0.0108891394597	0	1.17937823774e-05	4.90885822934e-07	0.973026758946
G	3.89201754702e-12	0.0178040292682	0.00930642922474	0	2.69426657075e-05	2.19759315692e-05	0.972840622906
H	3.22434691748e-07	0.0180810632708	0.009018093193	0	9.8382532577e-05	7.30286011674e-06	0.972794835709
I	1.77406995645e-06	0.0180759318816	0.00909177166616	0	4.16420424376e-05	4.27181218077e-06	0.972784608528
J	3.43249300778e-06	0.0144011549876	0.00997328216852	0	0.00209339888651	9.65477363597e-07	0.973527765987
K	1.05036257233e-07	0.0141393354175	0.0104688663243	0	0.00207112276044	5.99706382125e-07	0.973319970755
L	2.68009134135e-08	0.0152818622123	0.00964463923649	0	0.00185816658561	1.59134150051e-05	0.97319939175
