	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
mix_83	942.91563172	786.744145833	276.544375	1866.20307692	854.289327122	2468.67954906
mix_84	1033.07766129	1356.65160417	737.294375	1077.43769231	491.491283644	3142.60088794
mix_85	861.935833333	1437.957875	831.58125	1083.40461538	489.603519668	3067.74713232
mix_86	708.930282258	1760.9209375	849.97875	581.160384615	1471.97697722	3578.40639258
mix_87	742.1575	1325.41541667	671.94	1349.66730769	285.99858178	2704.59818545
mix_88	1039.35270161	1400.46485417	738.945	798.368846154	1315.93022774	3525.93312253
mix_89	974.802513441	1721.2939375	1055.48625	440.483461538	1315.49730849	3821.14981435
mix_90	668.615309139	1211.60241667	707.9275	1431.21692308	438.410445135	2543.69691491
mix_91	908.25858871	782.234625	275.89875	1777.46153846	1219.84957557	2629.2582734
mix_92	885.714005377	1179.37595833	521.34375	1399.36807692	459.175289855	2766.56350643
mix_93	455.432177419	612.635270833	193.053125	2473.94769231	417.327939959	1560.10070962
mix_94	444.448185484	788.190083333	436.25125	1926.48807692	1345.56232919	2060.36584381
mix_95	1151.09349462	675.5029375	209.50125	1646.37230769	1435.80562112	2840.87845952
mix_96	1025.21870968	731.9553125	279.7775	1535.92	2030.07408903	2954.646667
mix_97	800.167110215	1021.2856875	548.45625	1615.87692308	658.370103519	2531.50745538
mix_98	995.886666667	1030.20575	414.989375	1537.69576923	503.822846791	2775.03865348
mix_99	865.898844086	2157.7705625	1105.860625	128.662307692	883.587681159	4043.64068589
mix_100	936.425053764	1207.05660417	565.50375	1310.65769231	552.15573499	2904.54041974
