	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0	0.0	0.0	0.0	0.203460646053	0.0	0.286142454321
B	0.0	0.0	0.0	0.0	0.202181064713	0.0	0.282355485245
C	0.0640814244443	0.0	0.0	0.0	0.188423302662	0.0	0.295324126436
D	0.0603248145336	0.0	0.0	0.0	0.192494328557	0.0	0.292279988463
E	0.0441528810788	0.0	0.0	0.0	0.1945321799	0.0	0.28500216139
F	0.00436655007813	0.0	0.0	0.0	0.205329708023	0.0	0.288304483132
G	0.0	0.0	0.0	0.0675126827322	0.135355223671	0.0	0.276337485089
H	0.0	0.0	0.0	0.0	0.195390682437	0.0	0.275080027013
I	0.0	0.0	0.0	0.0184058180042	0.177510046542	0.0	0.279363694678
J	0.100183808582	0.0	0.0	0.0	0.179146899269	0.0	0.293040386919
K	0.101174789895	0.0	0.0	0.0	0.18059789011	0.0	0.294723250777
L	0.0519679827936	0.0	0.0	0.0	0.189785375356	0.0	0.286324537806
