	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
mix_1	0.0483	0.06	0.0037	0.8475	0.0404	0
mix_2	0.0448	0.0397	0.0	0.9126	0.0029	0
mix_3	0.2354	0.4499	0.0726	0.23	0.0122	0
mix_4	0.2852	0.1644	0.0363	0.4909	0.0233	0
mix_5	0.1994	0.1233	0.138	0.4584	0.0809	0
mix_6	0.1461	0.0897	0.0683	0.6768	0.019	0
mix_7	0.4187	0.1958	0.028	0.309	0.0485	0
mix_8	0.2631	0.0761	0.0	0.6608	0.0	0
mix_9	0.062	0.1298	0.0205	0.7221	0.0656	0
mix_10	0.4547	0.1052	0.0721	0.368	0.0	0
mix_11	0.0541	0.0602	0.0	0.8856	0.0	0
mix_12	0.0313	0.0865	0.0492	0.833	0.0	0
mix_13	0.5408	0.1187	0.0042	0.2792	0.0571	0
mix_14	0.5047	0.0719	0.0923	0.3312	0.0	0
mix_15	0.4453	0.0845	0.1015	0.1753	0.1934	0
mix_16	0.2438	0.2766	0.054	0.4224	0.0033	0
mix_17	0.7266	0.1486	0.114	0.0108	0.0	0
mix_18	0.0639	0.0272	0.0	0.9089	0.0	0
mix_19	0.2569	0.0572	0.0615	0.6149	0.0095	0
mix_20	0.1179	0.325	0.5305	0.0021	0.0245	0
mix_21	0.3428	0.1434	0.1661	0.3476	0.0	0
mix_22	0.3181	0.0522	0.0354	0.5389	0.0555	0
mix_23	0.3248	0.1166	0.0	0.5585	0.0	0
mix_24	0.0384	0.0136	0.0	0.9415	0.0065	0
mix_25	0.0488	0.206	0.0616	0.6836	0.0	0
mix_26	0.0325	0.5269	0.1461	0.0324	0.2621	0
mix_27	0.2804	0.0	0.0	0.7	0.0196	0
mix_28	0.2682	0.3803	0.2789	0.0192	0.0534	0
mix_29	0.1316	0.1453	0.0268	0.6576	0.0388	0
mix_30	0.1937	0.1226	0.0465	0.6134	0.0238	0
mix_31	0.1217	0.1959	0.0	0.6767	0.0057	0
mix_32	0.2021	0.192	0.076	0.5048	0.0251	0
mix_33	0.1977	0.1243	0.0	0.6651	0.013	0
mix_34	0.0362	0.0645	0.0	0.8844	0.015	0
mix_35	0.1059	0.0578	0.0843	0.7343	0.0176	0
mix_36	0.4177	0.2752	0.0	0.3022	0.0048	0
mix_37	0.3738	0.2551	0.0	0.3711	0.0	0
mix_38	0.1235	0.5495	0.0731	0.1292	0.1247	0
mix_39	0.5038	0.111	0.1165	0.1502	0.1186	0
mix_40	0.2043	0.1461	0.0	0.6496	0.0	0
mix_41	0.0632	0.0447	0.0387	0.819	0.0344	0
mix_42	0.531	0.2752	0.1421	0.0395	0.0121	0
mix_43	0.0123	0.211	0.1755	0.4773	0.1239	0
mix_44	0.068	0.408	0.0362	0.3937	0.0941	0
mix_45	0.017	0.2893	0.0555	0.6383	0.0	0
mix_46	0.2165	0.1491	0.3612	0.2096	0.0635	0
mix_47	0.2179	0.1274	0.0067	0.648	0.0	0
mix_48	0.2461	0.0	0.0	0.7336	0.0202	0
mix_49	0.2447	0.0364	0.0111	0.6758	0.0321	0
mix_50	0.3632	0.3584	0.0904	0.1881	0.0	0
mix_51	0.2527	0.0124	0.0	0.7066	0.0283	0
mix_52	0.5892	0.2551	0.0012	0.0835	0.071	0
mix_53	0.2618	0.0357	0.0	0.6837	0.0188	0
mix_54	0.507	0.1132	0.3039	0.0757	0.0	0
mix_55	0.2385	0.0552	0.0	0.6881	0.0183	0
