	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0461279675538	0.549565040544	0.0	0.0	0.0	0.937090000599	0.110186114682
B	0.0269872884942	0.544956229094	0.0	0.0	0.0	0.9071179621	0.128049069346
C	0.0	0.218881569148	0.0	0.0	0.163661649251	1.11902772602	0.111913519827
D	0.0	0.207551806423	0.0	0.0	0.180661973798	1.11691490025	0.103848967952
E	0.0	0.239906537984	0.0	0.0	0.0	1.29468662499	0.112222094539
F	0.0	0.342366371386	0.218244197544	0.0	0.0	0.935603707804	0.111004286096
G	0.0413115790912	0.643746058722	0.0	0.162225339111	0.0	0.681586870569	0.12756315101
H	0.0146348586523	0.887557295141	0.0	0.0	0.0	0.592938517726	0.135237634968
I	0.0163217479112	0.894713647292	0.0	0.0	0.0	0.592726207292	0.124220766413
J	0.0	0.124068227602	0.0	0.0	0.293573329042	1.05052218616	0.105810655469
K	0.0	0.117039557956	0.0	0.0	0.0	1.27320444465	0.17622890246
L	0.0	0.243968705303	0.0	0.0	0.11125579892	1.01678317771	0.197289291144
