	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.1614	0.1605	0.1075	0.0685	0.1736	0.0	0.163
B	0.1614	0.166	0.1024	0.0704	0.1689	0.0026	0.1676
C	0.0824	0.0211	0.0512	0.0855	0.4341	0.0135	0.1917
D	0.0772	0.0031	0.058	0.0908	0.4409	0.0078	0.1797
E	0.0775	0.0289	0.126	0.0924	0.2369	0.121	0.1791
F	0.0799	0.079	0.3536	0.0709	0.0674	0.0	0.1838
G	0.1469	0.1933	0.0307	0.1912	0.0948	0.0	0.1401
H	0.104	0.3787	0.0106	0.0641	0.0635	0.0	0.1666
I	0.1165	0.3766	0.0024	0.0718	0.0628	0.0	0.1503
J	0.0907	0.0	0.0218	0.0786	0.4837	0.0	0.1919
K	0.087	0.0	0.0745	0.0626	0.2518	0.1837	0.2003
L	0.0689	0.0	0.0179	0.0909	0.4747	0.0	0.2023
