	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0	0.0	0.0	0.0	0.0	0.0	17.6595648701
B	0.0	0.0	0.0	0.0	0.0	0.0	19.3784416915
C	0.0	0.0	0.0	0.0	0.0	0.0	100.079637227
D	0.0	0.0	0.0	0.0	6.07855833828	0.0	5.10606318886
E	0.0	0.0	0.0	0.0	1.93147035966	0.0	5.83551433522
F	0.0	0.0	0.0	0.0	0.0	0.0	16.7507394408
G	18.1287039824	7.3384657286	11.6451020967	24.1294174112	12.9180865116	11.9442828	0.0
H	0.0	4.09427674194	0.0	0.0	0.0	0.0	85.7444357152
I	1.53907661316	5.95410193992	0.0	0.282834015182	5.78739266871	0.0	218.772366386
J	0.0	0.0	0.0	-11.2060899988	1.07053056261	0.0	108.760253345
K	0.0	0.0	0.0	-0.629893527584	0.0	0.0	9.19113553193
L	1.68317680837	0.0	0.0	0.0	3.70004615445	0.0	9.8651182221
