	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	12.3106206207	36.8937787964	14.1797383595	17.2545983152	12.3305501175	11.7247482707	0
B	12.7040167658	37.2827970723	14.5892905838	17.7683437234	12.7882216409	12.0554242568	0
C	11.6485051576	17.9136947243	15.6719702002	3.11529944778	17.196427711	14.8753704779	0
D	12.0166188629	17.7286800397	15.4821352248	2.6897510437	17.2170399878	15.1422607594	0
E	10.8578001167	22.4495115732	16.8988350033	7.5383027424	15.0458318062	14.4250150879	0
F	9.00872017953	27.4940637738	18.7368065058	13.4003852436	11.0962238526	11.7325111958	0
G	9.84790824198	43.1230221895	10.0058099723	30.303733614	8.65889302225	7.75371172631	0
H	12.2190364576	51.2673540926	11.1289499265	24.3481145675	9.91744091165	9.41975332317	0
I	11.9016742876	51.0827210816	10.944371977	24.2351359895	9.72825159593	9.0774213169	0
J	12.0202871205	11.0489367836	16.2090801633	0.0	18.4443503749	15.7403144624	0
K	12.460917508	11.5550356087	19.9771790669	0.0	18.1232824808	17.6931510536	0
L	12.0504600715	18.5624583544	16.3241947654	1.819633051	18.0423049693	15.8888015055	0
