	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.193974420463	0	0	0	0.386533141004	0.244508625	0
B	0.193751620775	0	0	0	0.386786948334	0.243616986037	0
C	0.184497633524	0	0	0	0.400814704488	0.247500568627	0
D	0.184288181962	0	0	0	0.402001439874	0.247082520219	0
E	0.184778482741	0	0	0	0.393832516599	0.251205003818	0
F	0.189189536187	0	0	0	0.384866617172	0.251986089367	0
G	0.197305975429	0	0	0	0.381818047735	0.239721368956	0
H	0.193391508189	0	0	0	0.380689247928	0.239794074345	0
I	0.194864405958	0	0	0	0.381529991993	0.238355173399	0
J	0.182759564332	0	0	0	0.407802997753	0.246200471215	0
K	0.184514866491	0	0	0	0.399246841559	0.253151345741	0
L	0.180729802646	0	0	0	0.405346249173	0.247108885996	0
