	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0215074442868	0.244950720388	0.733541835325	0.0	0.0	0.0	0
B	0.0218457746123	0.244169603343	0.733984622045	0.0	0.0	0.0	0
C	0.0313065259102	0.206014813831	0.762678660259	0.0	0.0	0.0	0
D	0.0312538314076	0.205577745426	0.763168423166	0.0	0.0	0.0	0
E	0.0206858938132	0.21463498788	0.764679118307	0.0	0.0	0.0	0
F	0.000262613011244	0.221732555516	0.778004831473	0.0	0.0	0.0	0
G	0.0170263885224	0.2670020402	0.715971571278	0.0	0.0	0.0	0
H	0.0209883748524	0.277881391672	0.701130233476	0.0	0.0	0.0	0
I	0.0222792512801	0.278590410214	0.699130338506	0.0	0.0	0.0	0
J	0.0437986762206	0.181910696215	0.774290627565	0.0	0.0	0.0	0
K	0.0333484403128	0.178441644014	0.788209915673	0.0	0.0	0.0	0
L	0.0325615584004	0.207284531335	0.760153910264	0.0	0.0	0.0	0
