	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.1114	0.1938	0.1478	0.0144	0.1855	0.0148	0.2659
B	0.1146	0.2094	0.1214	0.0189	0.1822	0.0147	0.2893
C	0.033	0.0	0.0595	0.0072	0.5515	0.0	0.3478
D	0.0342	0.0	0.1085	0.0	0.5847	0.0093	0.2608
E	0.0224	0.0173	0.1431	0.0098	0.2151	0.2619	0.3073
F	0.0186	0.0506	0.5442	0.0091	0.0375	0.0	0.3152
G	0.0698	0.244	0.0779	0.2088	0.1271	0.0	0.1611
H	0.0495	0.5327	0.0061	0.0028	0.0772	0.0	0.1707
I	0.0565	0.5291	0.0038	0.0	0.0894	0.0	0.157
J	0.029	0.0	0.0518	0.0	0.6605	0.0	0.2586
K	0.0274	0.0	0.0773	0.0	0.2299	0.326	0.325
L	0.0001	0.0	0.1049	0.0	0.5537	0.0	0.2748
