	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.110193843112	0.000159320086741	0.121039444717	0.273920565792	0.000147154033627	0.00459391937804	0.488143071382
B	0.108361192924	3.29353542304e-05	0.124103779073	0.278798252996	0.000103016557277	0.000790848688498	0.482013267457
C	0.0845646764849	1.21555476747e-05	0.0767062862015	0.132258613292	0.0298425674546	0.111180670922	0.564455162578
D	0.0841189639705	5.81705857579e-07	0.0672801472045	0.150676059952	0.0312969658164	0.0983319681245	0.566921452713
E	0.0840854077156	2.14168238622e-05	0.184389215632	0.167780166774	0.00486296975998	0.0492997837619	0.507194753803
F	0.0557142687748	9.83395058358e-06	0.253755462281	0.21475284868	0.000566203960264	3.15678295199e-05	0.463936895821
G	0.0885348027284	0.000148808176736	0.0649036643644	0.393596131295	9.77471096259e-05	0.000431117976275	0.444298125346
H	0.0892886746566	0.0212601365225	0.0419428432592	0.303008812509	0.000124511601467	4.89971224353e-05	0.536257658956
I	0.0878272563527	0.0153357823594	0.0392158926694	0.323085566553	1.71414549734e-05	0.000129354431193	0.522720506091
J	0.0928727700994	5.16646454504e-05	0.0916318894677	0.0784295432937	0.0604608247451	0.0630839991088	0.605310884568
K	0.0906621686659	1.54431240523e-05	0.153491200782	0.0520973515675	0.00327569572693	0.133007715558	0.564015715296
L	0.0565183284237	6.21555537202e-06	0.0612832156809	0.134996434995	0.0102965247777	0.0855590973893	0.648150767646
