	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0	0.0698545932072	0.31429296411	0.429886567666	0.185965875017	0.0	0
B	0.0	0.0670716657561	0.313867334448	0.43086164427	0.188199355525	0.0	0
C	0.0	0.0	0.31017319992	0.417690481278	0.272136318802	0.0	0
D	0.0	0.0	0.308733872066	0.417038772703	0.274227355231	0.0	0
E	0.0	0.0108965168937	0.333641268601	0.424541112001	0.230921102505	0.0	0
F	0.0	0.0377750379272	0.374057048304	0.430419967212	0.157747946556	0.0	0
G	0.0	0.0906865158912	0.291775994497	0.454576204286	0.162961285326	0.0	0
H	0.0	0.143080681725	0.291058814987	0.426780051917	0.139080451371	0.0	0
I	0.0	0.14447430435	0.290940244485	0.426499218962	0.138086232203	0.0	0
J	0.0	0.0	0.310770249953	0.403195719811	0.286034030236	0.0	0
K	0.0	0.0	0.347347583281	0.402943534631	0.249708882088	0.0	0
L	0.0	0.0	0.30976383488	0.414084475217	0.276151689903	0.0	0
