	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.214	0.3221	0.1608	0.0345	0.1555	0.1132	0
B	0.2128	0.3182	0.1628	0.0328	0.1452	0.1282	0
C	0.1157	0.0734	0.12	0.0011	0.482	0.2079	0
D	0.119	0.0683	0.1178	0.0	0.4576	0.2372	0
E	0.1114	0.1142	0.2176	0.0089	0.2586	0.2893	0
F	0.1003	0.1764	0.5633	0.0306	0.0438	0.0857	0
G	0.1721	0.4215	0.0762	0.1832	0.0628	0.0843	0
H	0.1193	0.6564	0.0518	0.0452	0.0303	0.0969	0
I	0.1222	0.6695	0.047	0.0467	0.0278	0.0868	0
J	0.1178	0.0334	0.0899	0.0	0.5622	0.1968	0
K	0.1143	0.0215	0.1805	0.0	0.3101	0.3736	0
L	0.0947	0.0589	0.0857	0.0186	0.4594	0.2827	0
