	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	5.16095010187	0	0	0	7.15461212698	5.81016	0
B	5.06639037598	0	0	0	7.14658	5.88798	0
C	5.12270257883	0	0	0	7.4186396703	5.949216509	0
D	5.10088	0	0	0	7.49298	5.98298	0
E	5.16568	0	0	0	7.21468690549	5.90006058035	0
F	5.03367418019	0	0	0	7.19126214177	5.87567453546	0
G	5.1501	0	0	0	7.1238	5.60416789331	0
H	5.19398	0	0	0	6.86	5.71032	0
I	5.04054358357	0	0	0	6.8008	5.70719454096	0
J	5.13366	0	0	0	7.40296235016	5.92572	0
K	5.12678518049	0	0	0	7.41309973413	6.04374314143	0
L	5.17603130823	0	0	0	7.39934	5.8631800968	0
