Cibersort	ImmunoStates-Full.tsv	EPIC-BCIC.tsv	10XImmune.tsv	HPCA-Blood.tsv	HPCA-Stromal.tsv	EPIC-TIC.tsv	BluePrint-Blood.tsv	SkinSignaturesV1.tsv	LM22-Full.tsv	BlueCodeV1.tsv
Cibersort	3	0	0	0	2	2	1	2	2	0
GEDIT	4	2	2	0	2	1	0	0	0	1
Savant	0	2	4	1	3	0	0	0	0	2
AbsCibersort	3	0	0	0	2	2	1	2	2	0
dtangle	2	0	4	2	4	0	0	0	0	0
EPIC	1	0	1	0	1	0	1	0	6	2
Decon	1	0	0	0	5	2	0	4	0	0
DCQ	3	3	1	0	0	1	4	0	0	0
