Cibersort	ImmunoStates-Full.tsv	EPIC-BCIC.tsv	10XImmune.tsv	HPCA-Blood.tsv	HPCA-Stromal.tsv	EPIC-TIC.tsv	BluePrint-Blood.tsv	HPCA-Stromal.tsv	LM22-Full.tsv	BlueCodeV1.tsv
Cibersort	82	2	0	2044	0	1591	0	0	0	6
GEDIT	4	8	0	18	93	3591	3	0	0	8
Savant	1706	44	0	1	1476	488	3	2	1	4
AbsCibersort	203	0	0	3497	0	24	1	0	0	0
dtangle	1571	0	0	1	2139	9	2	0	0	3
EPIC	4	2	0	0	3718	0	0	0	1	0
Decon	102	9	0	370	3180	62	2	0	0	0
DCQ	2717	74	3	36	196	601	13	6	4	75
