Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_1	0.169671013495055	0	0.400757148179501	0	0.297550066924162	0	0	0.349182223587361	0.0964742359136389	9999	0.607849813562372	0.79272126626091	1.31363468809972
mix_2	0.0919142425111326	0	0.488383254681306	0	0.314006585695533	0	0	0.270695491741243	0.113746363921774	9999	0.574934009461429	0.822489819150646	1.27874593855099
mix_3	0.264482295334153	0	0.100256241959007	0	0.152986187674461	0	0	0.451134877016213	0.0735151343782477	9999	0.629846482535524	0.777405109988219	1.04237473636208
mix_4	0.302181657803665	0	0.201432557181976	0	0.209508323999272	0	0	0.344608006243472	0.081989001029382	9999	0.619339595223529	0.783961852693064	1.13971954625777
mix_5	0.292967649208676	0	0.194394056477192	0	0.236497525512919	0	0	0.293785129824485	0.141743048959817	9999	0.617392517039058	0.785291870664112	1.15938740998309
mix_6	0.318752510637283	0	0.257912658217078	0	0.224522433409626	0	0	0.302246150217552	0.123719338019896	9999	0.620354126083113	0.782901032833199	1.22715309050143
mix_7	0.403463773263727	0	0.133051628408358	0	0.191457526869949	0	0	0.381291821373616	0.0769899765659487	9999	0.639396105226074	0.768179982497149	1.1862547264816
mix_8	0.312177417390515	0	0.284945499004582	0	0.21141756989614	0	0	0.32683734142496	0.0556643733516559	9999	0.623513496044826	0.780393183836669	1.19104220106785
mix_9	0.174769038995163	0	0.317506862235568	0	0.290940841366185	0	0	0.383825613801638	0.0918491292842443	9999	0.603417234214584	0.795887830178354	1.2588914856828
mix_10	0.394217545468678	0	0.168406500508578	0	0.173629456377049	0	0	0.254357302942619	0.119630316518044	9999	0.627842361473753	0.776966208591399	1.11024112181497
mix_11	0.155796691798727	0	0.413276756181586	0	0.273258588902941	0	0	0.310876007894954	0.0592466855035759	9999	0.592617306780357	0.805481666474311	1.21245473028178
mix_12	0.0713835155775321	0	0.381817426400558	0	0.260921330691642	0	0	0.387918560339699	0.147857892028096	9999	0.566598507606024	0.824517480062446	1.24989872503753
mix_13	0.490715769274043	0	0.133889431137951	0.00597618653114554	0.174977475465165	0	0	0.30636646706246	0.062413153114883	9999	0.639990315887157	0.767172365039719	1.17433848258565
mix_14	0.458857963682945	0	0.160159675547674	0	0.173607616587081	0	0	0.267618513805014	0.137106740552285	9999	0.636711170530904	0.769793192978603	1.197350510175
mix_15	0.406686087555309	0	0.101951725600409	0	0.191724855185892	0	0	0.204769569269474	0.12193724879375	9999	0.641554098687535	0.765895706569776	1.02706948640483
mix_16	0.335318921805243	0	0.146301069755128	0.00696818145915522	0.148515155391747	0	0	0.395218994800368	0.0863172101254923	9999	0.61612874286812	0.786712143611298	1.11863953333713
mix_17	0.339499690519205	0	0.00972157547886793	0.00823023336183763	0.0813289331034565	0	0	0.241481000636199	0.105915769583366	9999	0.671182820110231	0.740790889534998	0.786177202682932
mix_18	0.148898738678674	0	0.500798832153178	0	0.296567757882517	0	0	0.215360577654802	0.101190411630411	9999	0.577476161366282	0.821388697763449	1.26281631799958
mix_19	0.347951975587591	0	0.266690949546064	0	0.233233336824153	0	0	0.25647516877949	0.122358558052152	9999	0.622856423412583	0.780812759758662	1.22670998878945
mix_20	0.191742040570293	0	0	0.0155226014682712	0.0887439237459774	0	0.01123297184267	0.343175317845585	0.154363778778281	9999	0.638214631588958	0.770315442271496	0.804780634251078
mix_21	0.383995527334904	0	0.112131652227146	0.0391115306601808	0.150680868489254	0	0	0.340450357867461	0.140769853270757	9999	0.61915346487847	0.78394770011567	1.1671397898497
mix_22	0.37718414182685	0	0.267766440086063	0	0.252631780600995	0	0	0.208146430786028	0.101089500796475	9999	0.625754489983498	0.778533012213013	1.20681829409641
mix_23	0.353609313331915	0	0.238985223261696	0	0.205666061382291	0	0	0.387344186620747	0.0659409411439124	9999	0.629957676782705	0.77575195430321	1.25154572574056
mix_24	0.0849889518490212	0	0.63443231130121	0.00610782883587381	0.416219676825459	0	0	0.199040833474673	0.090465409209327	9999	0.576564032043828	0.829757956307003	1.43125501149556
mix_25	0.124182181980755	0	0.238376367103726	0	0.183079943287905	0	0	0.401159807750469	0.10764316750906	9999	0.5956660905186	0.801876060464311	1.05444146763191
mix_26	0.122762716691316	0	0.0214691651565997	0.00178645662755793	0.123785417394296	0	0	0.416529040771432	0.0865726357249849	9999	0.637959719883974	0.772085072359033	0.772905432366186
mix_27	0.476708989828494	0	0.387717847886564	0	0.288780947423683	0	0	0.126218171445774	0.0332795859870711	9999	0.637553633624183	0.770161401700643	1.31270554257159
mix_28	0.216981176385456	0	0.0086249222304567	0.00987917610526783	0.0990931332760413	0	0	0.334245536196663	0.123290669422183	9999	0.640047998265004	0.768603226071914	0.792114613616067
mix_29	0.304978751700297	0	0.242359118109522	0	0.231980807103883	0	0	0.360766402667277	0.0892880797038274	9999	0.62437928585228	0.780031227495135	1.22937315928481
mix_30	0.32856134202219	0	0.23604325334923	0	0.217415237092434	0	0	0.359868159207606	0.105464608605954	9999	0.627001686875183	0.778024391437507	1.24735260027741
mix_31	0.259626108138328	0	0.219023495953057	0	0.185865008959973	0	0	0.38689853177361	0.0571862965476601	9999	0.618980027158313	0.784572647694209	1.10859944137263
mix_32	0.302347197796326	0	0.198756230650559	0	0.215809012233214	0	0	0.385783854777275	0.100927562111646	9999	0.619793488838802	0.783834861374629	1.20362385756902
mix_33	0.306490434599254	0	0.261936561709845	0	0.224691403635637	0	0	0.384557288236761	0.0428301166029375	9999	0.627024963698505	0.777972481839773	1.22050580478443
mix_34	0.0923804489056012	0	0.451459273471003	0	0.311109611054542	0	0	0.343481419396619	0.0919460356348694	9999	0.577325438341476	0.818251639656703	1.29037678846263
mix_35	0.266128962361218	0	0.289248090430415	0	0.256480753241291	0	0	0.211861486784089	0.135503189084601	9999	0.616250202998368	0.786046153698028	1.15922248190161
mix_36	0.397981439523795	0	0.119362558783131	0	0.148413422774284	0	0	0.432992461056555	0.0219865939495634	9999	0.631487795998912	0.774773000874496	1.12073647608733
mix_37	0.344813723044683	0	0.146169750840121	0	0.1609852152746	0	0	0.405515822523479	0.0480725006107193	9999	0.624126927012312	0.780645529612935	1.1055570122936
mix_38	0.236783476890464	0	0.0541249066185325	0.00467799506827507	0.146246916955287	0	0	0.476471311140157	0.0571492305653094	9999	0.639119245023689	0.770728102114058	0.975453837238025
mix_39	0.42305569591029	0	0.0905882141591497	0.000268388439672431	0.177226024173488	0	0	0.251497056356069	0.114453298306521	9999	0.645080131877596	0.762995761552449	1.05708867734519
mix_40	0.270075983822916	0	0.216165152942878	0	0.188637626087353	0	0	0.413616742232869	0.026053507815617	9999	0.632117633717508	0.774744737055655	1.11454901290163
mix_41	0.178862261774839	0	0.364551368205353	0	0.292250629076481	0	0	0.213502787949352	0.118830444871078	9999	0.602736361439104	0.797422550584987	1.1679974918771
mix_42	0.352662472686944	0	0.0208229087431504	0.0152014170445521	0.117620961401183	0	0	0.32770594900602	0.0966640543285478	9999	0.6466287515979	0.762194982100884	0.930677763210397
mix_43	0.103787875769352	0	0.205437354819793	0	0.218535663665861	0	0	0.421928034595522	0.159401876598938	9999	0.594345333819784	0.802949409419746	1.10909080544947
mix_44	0.197619698463442	0	0.140666910152964	0.0112276807358519	0.182111490540255	0	0	0.535892309220737	0.0658684468270114	9999	0.606568864729737	0.79485881709133	1.13338653594026
mix_45	0.0579769963382037	0	0.20650674659372	0	0.148975158842994	0	0	0.49850824607618	0.0986285313371827	9999	0.581304909261979	0.812601100845064	1.01059567918828
mix_46	0.288254306600392	0	0.109629116798695	0	0.194282529919985	0	0	0.288420637258345	0.207768118803343	9999	0.628941040680569	0.776479713062706	1.08835470938076
mix_47	0.293637765970936	0	0.254762009294146	0	0.236494971655839	0	0	0.388421934704144	0.0854790393652643	9999	0.625625758550235	0.779194172150707	1.25879572099033
mix_48	0.495563075551259	0	0.352155152814983	0.0126025473896231	0.255171185527126	0	0	0.0938189685979981	0.0246057320354456	9999	0.635208135947124	0.773425628557667	1.23391666191643
mix_49	0.378433333491776	0	0.347090987086617	0	0.291794097205092	0	0	0.22603669881677	0.0967896704943124	9999	0.628895678610034	0.776007498678061	1.34014478709457
mix_50	0.317341493518325	0	0.0778259990810036	0	0.131076435189869	0	0	0.406710216110558	0.0989370187672154	9999	0.631084124897594	0.775660848036958	1.03189116266697
mix_51	0.451102754478611	0	0.386759289860905	0	0.305785103575241	0	0	0.248287603252992	0.0248742324724494	9999	0.639716859029379	0.767191396083193	1.4168089836402
mix_52	0.430523827775155	0	0.0479472505895069	0.00950824636484447	0.132810707529281	0	0	0.357776247507669	0.0509657273018902	9999	0.652225618530004	0.757298083380532	1.02953200706835
mix_53	0.393162262636244	0	0.320961561484049	0	0.257256335968754	0	0	0.26622680891648	0.0551593765454056	9999	0.634765571602119	0.77117773340159	1.29276634555093
mix_54	0.333118102850649	0	0.0405156912214928	0.0109950363346215	0.129408857333438	0	0	0.244802827146585	0.182798125406587	9999	0.642815901422669	0.765109541511225	0.941638640293374
