naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
A	0.0893825405360602	0.17209826613504	0.239520269302016	0.0808495926814289	0.113488999751719	0.0865601783227903	0.0831207177138474	0.134979435557098
B	0.0884509403407698	0.170059422415716	0.236626485317181	0.0802743796385929	0.114868225894358	0.0861733540647845	0.0828464759837408	0.140700716344857
C	0.0751925520892381	0.151188234640382	0.277578447121202	0.0851331740622915	0.110840630841397	0.0810129813139071	0.0716067520775239	0.147447227854058
D	0.0760537717832143	0.154965058455769	0.276975953532273	0.0851163365076509	0.106090306635356	0.0764342857293718	0.0751841602868171	0.149180127069548
E	0.0787956086295234	0.157811675127933	0.259964348898481	0.0908988483583712	0.114646926842237	0.0861962633792034	0.0722134795196289	0.139472849244623
F	0.0834851596582532	0.170176883403553	0.225574278309193	0.0797725880865879	0.128243077289562	0.0887255509712001	0.0750983393597035	0.148924122921948
G	0.0888075296832417	0.171095476661872	0.226148045285999	0.0722202118038738	0.128354716536775	0.0922191228945289	0.0881481986931841	0.133006698440524
H	0.0851924219455801	0.164693856702598	0.221167302368259	0.0707904127768928	0.129248788003234	0.0965266594413646	0.0979308606591744	0.134449698102897
I	0.0844483642895555	0.161885482550937	0.220208442694631	0.0700599906020888	0.136006609691256	0.0958082760815598	0.0963481693269831	0.135234664762989
J	0.0737567241205811	0.160976095876971	0.291603998125636	0.0773640373801052	0.104666029160006	0.0755402454065355	0.0682116411995125	0.147881228730652
K	0.0771788977543439	0.167581737839963	0.272398993070506	0.09573988835527	0.11059698108282	0.0769762970758739	0.062145576519924	0.1373816283013
L	0.0620847369248351	0.131977300640001	0.302552542417466	0.0810373366974968	0.112394725408821	0.084042224666614	0.0753810029709921	0.150530130273775
