B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
S10328	0	0	0.1134	0.1393	0.0543	0.3254	0.124	0	0	0.2436
S10329	0	0	0.1991	0.0764	0	0.3663	0.145	0	0	0.2132
S10336	0	0	0.2104	0.1582	0.0248	0.3908	0.1221	0	0	0.0936
S10340	0	0	0.1754	0	0	0.4792	0.1957	0.0014	0	0.1482
S10347	0	0	0.1889	0.0581	0	0.3417	0.2823	0	0	0.129
S10353	0	0	0.2172	0.0239	0	0.4415	0.1602	0	0	0.1572
S10356	0	0	0.2266	0.0178	0.0135	0.3215	0.2439	0.0173	0.0128	0.1466
S10358	0	0	0.2534	0.0176	0	0.4741	0.1621	0	0	0.0929
S10365	0	0	0.2418	0.009	0	0.5059	0.173	0	0	0.0702
S1037	0	0	0.1221	0.09	0.012	0.203	0.2337	0.066	0	0.2733
S10373	0	0	0.1792	0.061	0	0.3693	0.2199	0	0	0.1706
S10374	0	0	0.1964	0.011	0	0.4118	0.1438	0.0158	0.0757	0.1455
S10375	0	0	0.1943	0.0704	0.0337	0.4593	0.1412	0	0	0.101
S10377	0	0	0.2045	0.0428	0.0403	0.3174	0.2563	0	0.0054	0.1333
S10378	0	0	0.1628	0.068	0	0.4312	0.1646	0	0	0.1734
S10390	0	0	0.1628	0.0223	0.0184	0.3329	0.2456	0	0.0452	0.1729
S10391	0	0	0.2393	0.1545	0	0.3527	0.1721	0	0.0609	0.0205
S10393	0	0	0.1465	0.1036	0	0.4475	0.0603	0	0	0.2421
S10400	0	0	0.3263	0.0146	0	0.4002	0.2126	0	0	0.0462
S10401	0	0	0.2402	0.0661	0	0.3442	0.1779	0	0	0.1716
S10406	0	0	0.2169	0	0	0.6014	0.1321	0	0	0.0496
S10408	0	0	0.1883	0.0784	0	0.4147	0.1735	0	0	0.1452
S10409	0	0	0.2197	0.0521	0.0237	0.3644	0.1018	0	0	0.2382
S10418	0	0	0.2786	0.016	0	0.4894	0.165	0	0.0011	0.05
S10431	0	0	0.2141	0.0323	0.0291	0.426	0.2088	0	0	0.0897
S10438	0	0	0.2174	0.0769	0	0.411	0.1578	0	0	0.1368
S10439	0	0	0.3406	0.0342	0	0.4121	0.121	0	0	0.0921
S10441	0	0	0.3492	0.0913	0	0.4603	0.0818	0	0	0.0174
S10442	0	0	0.2587	0.0528	0	0.4007	0.1857	0	0	0.1022
