naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell
mix_1	0.0857	0	0.0496	0	0.218	0	0.0375	0.3115	0.2978
mix_2	0.0966	0	0	0.0052	0.2592	0	0.0917	0.3729	0.1744
mix_3	0.0765	0	0.1608	0	0.2685	0	0.0417	0.435	0.0175
mix_4	0.0352	0	0	0	0.2426	0	0	0.5393	0.1829
mix_5	0.0458	0	0.0676	0	0.2643	0	0.0159	0.4318	0.1746
mix_6	0.0472	0	0	0	0.246	0	0	0.4944	0.2124
mix_7	0.0434	1e-04	0.1024	0	0.2745	0	0.0351	0.4176	0.1269
mix_8	0.072	0	0.0661	0	0.232	0	0.0495	0.375	0.2055
mix_9	0.0336	0	0	0	0.2095	0	0	0.489	0.268
mix_10	0.0735	0	0.0532	0	0.2342	0	0.0335	0.5992	0.0064
mix_11	0.0956	0	0	0.027	0.2103	0	0.0635	0.3504	0.2532
mix_12	0.0351	0	0.0539	0	0.2354	0	0	0.5447	0.1309
mix_13	0.0778	0	0	0	0.1653	0	0	0.6744	0.0826
mix_14	0.0699	0	0	0	0.2102	0	0.0208	0.5659	0.1333
mix_15	0.06	0	0.0452	0	0.2578	0	0.0199	0.4534	0.1636
mix_16	0.0448	0.0503	0.1439	0	0.2935	0	0.0302	0.4374	0
mix_17	0.0767	0	0.1179	0	0.2777	0	0.033	0.4948	0
mix_18	0.084	0	0.0196	0.0114	0.1776	0	0.0595	0.6479	0
mix_19	0.0805	0	0.1625	0	0.2415	0	0.0362	0.4242	0.0552
mix_20	0.0808	0	0	0	0.2237	0	0.0059	0.5199	0.1698
mix_21	0.0532	0	0.087	0	0.2369	0	0.0056	0.6174	0
mix_22	0.0492	0	0.0465	0	0.1979	0	0.0344	0.4414	0.2306
mix_23	0.0881	0	0	0	0.2104	0	0.0316	0.5341	0.1358
mix_24	0.0401	0	0.0448	0	0.2587	0	0.0014	0.5388	0.1162
mix_25	0.0523	0	0	0	0.2087	0	0	0.5076	0.2314
mix_26	0.0612	0	0.1272	0	0.2256	0	0.0198	0.5662	0
mix_27	0.0732	0	0.0018	0	0.2188	0	0.0275	0.4352	0.2435
mix_28	0.063	0	0	0	0.2587	0	0.0077	0.5373	0.1333
mix_29	0.0781	0	0.0181	0	0.2265	0	0.0558	0.3521	0.2694
mix_30	0.0401	0	0	0	0.2291	0	0	0.564	0.1668
mix_31	0.0694	0	0.0266	0	0.2016	0	0.0313	0.5574	0.1137
mix_32	0.0459	0	0	0	0.1847	0	0.0499	0.5918	0.1277
mix_33	0.0824	0	0.0662	0	0.1956	0	0.0059	0.6297	0.0202
mix_34	0.0912	0	0.106	0	0.2059	0	0.0807	0.5163	0
mix_35	0.0426	0	0.0161	0	0.225	0	0.0263	0.5143	0.1758
mix_36	0.0478	0	0.0626	0	0.2415	0	0.031	0.447	0.1701
mix_37	0.0593	0	0.1156	0	0.2607	0	0.0235	0.496	0.0449
mix_38	0.0633	0	0.1196	0	0.2588	0	0.0199	0.4187	0.1198
mix_39	0.0519	0	0	0	0.2503	0	0.0197	0.4871	0.1911
mix_40	0.0453	0	0.066	0	0.2193	0	0.0283	0.5074	0.1337
mix_41	0.0734	0	0.1287	0	0.2263	0	0.0276	0.544	0
mix_42	0.0598	0	0	0	0.1989	0	0.0274	0.6688	0.0451
mix_43	0.0814	0	0.093	0	0.2246	0	0.0374	0.5637	0
mix_44	0.0942	0	0	0.0062	0.23	0	0.0425	0.4719	0.1551
mix_45	0.0571	0	0.022	0	0.2479	0	0.0564	0.4229	0.1937
mix_46	0.0668	0	0.1353	0	0.2099	0	0.0169	0.4997	0.0714
mix_47	0.0807	0.027	0.1623	0	0.2586	0	0.0529	0.4186	0
mix_48	0.0752	0	7e-04	0.013	0.2232	0	0.0455	0.6425	0
mix_49	0.0612	0	0.0876	0.0066	0.1976	0.0214	0.0605	0.425	0.1403
mix_50	0.0424	0	0	0	0.2381	0	0.0292	0.4712	0.2192
mix_51	0.0711	0	0.1414	0	0.2468	0	0.0322	0.5085	0
mix_52	0.078	0	0.1225	0	0.2322	0	0.0327	0.5059	0.0287
mix_53	0.1121	0	0.0374	0.0306	0.2551	0	0.0652	0.4996	0
mix_54	0.0579	0	0.0413	0	0.2358	0	0	0.5845	0.0805
mix_55	0.0661	0	0.055	0	0.2173	0	0.0227	0.639	0
mix_56	0.0528	0	0.0248	0	0.1983	0	0	0.6063	0.1178
mix_57	0.0378	0	0	0	0.2468	0	0.0098	0.4635	0.242
mix_58	0.0526	0	0.0487	0	0.2508	0	0	0.5085	0.1394
mix_59	0.0607	0.0205	0.1271	0	0.2651	0	0.0561	0.4704	0
mix_60	0.0706	0	0.0604	0	0.2159	0	0.0076	0.6001	0.0455
mix_61	0.0417	0	0.0652	0	0.2628	0	0.0213	0.491	0.1181
mix_62	0.0577	0	0.1349	0	0.2595	0	0.013	0.509	0.0257
mix_63	0.0432	0	0.0419	0	0.2324	0	0	0.5374	0.1451
mix_64	0.0587	0.0717	0.1393	0	0.2701	0.0016	0.0653	0.3932	0
mix_65	0.0858	0	0.1336	0	0.2361	0	0.0364	0.4948	0.0133
mix_66	0.084	0	0.0743	0.0042	0.2484	0	0.079	0.4453	0.0647
mix_67	0.0838	0	0.0735	0	0.2502	0	0.014	0.3994	0.1792
mix_68	0.0727	0	0.0598	0	0.2501	0	0.0284	0.5297	0.0593
mix_69	0.0663	0	0	0	0.2519	0	0.0074	0.5392	0.1351
mix_70	0.0558	0	0.1365	0	0.2405	0	0.0144	0.5529	0
mix_71	0.0703	0	0.0993	0	0.2494	0	0.0183	0.4766	0.0861
mix_72	0.0728	0	0.1511	0	0.2562	0	0.0115	0.4676	0.0408
mix_73	0.012	0.0318	0.1311	0	0.2781	0	0	0.547	0
mix_74	0.0665	0	0	0	0.1763	0	0.008	0.573	0.1762
mix_75	0.067	0	0.0324	0	0.2264	0	0.0217	0.6239	0.0285
mix_76	0.0552	0	0.1195	0	0.2565	0	0.0266	0.3805	0.1618
mix_77	0.0627	0	0.0126	0	0.2278	0	0.0258	0.5304	0.1407
mix_78	0.07	0	0.0749	0	0.2375	0	0.0034	0.5662	0.0479
mix_79	0.0275	0.0807	0.1722	0	0.2622	0.0121	0.0187	0.4266	0
mix_80	0.0934	0	0.0552	0.0293	0.2247	0	0.0479	0.5495	0
mix_81	0.1223	0	0.1242	0.0492	0.2004	0.0147	0.0727	0.4164	0
mix_82	0.0453	0.0445	0.216	0	0.2511	0.0109	0.0563	0.3759	0
mix_83	0.0248	0	0.0789	0	0.2524	0	0.008	0.636	0
mix_84	0.0499	0	0.0832	0	0.2574	0	0.0319	0.4469	0.1307
mix_85	0.0696	0	0.1488	0	0.2432	0	0.0446	0.4221	0.0719
mix_86	0.044	0	0.0407	0	0.2645	0	0	0.5085	0.1422
mix_87	0.0528	0	0	0	0.1755	0	0	0.519	0.2527
mix_88	0.0665	0	0.0234	0	0.2056	0	0.0214	0.5346	0.1486
mix_89	0.1248	0	0.1276	0.0424	0.2516	0	0.0507	0.4029	0
mix_90	0.0477	0	0	0	0.197	0	0.0036	0.4866	0.2651
mix_91	0.0346	0	0.0372	0	0.2289	0	0.0281	0.5071	0.164
mix_92	0.0618	0	0	0	0.2205	0	0.0236	0.5711	0.123
mix_93	0	0.1068	0.1673	0	0.2896	0	0	0.4362	0
mix_94	0.0351	0	0	0	0.2166	0	0.0059	0.5549	0.1875
mix_95	0.0436	0	0	0	0.2048	0	0.0032	0.6622	0.0862
mix_96	0.0831	0	0.0394	0.0115	0.2154	0	0.0455	0.5077	0.0973
mix_97	0.0398	0	0	0	0.2115	0	0.0557	0.5621	0.1309
mix_98	0.0395	0	0.0338	0	0.203	0	0.0296	0.6387	0.0554
mix_99	0	0.13	0.1416	0	0.2753	0.0377	0.069	0.3463	0
mix_100	0.0224	0	0.0542	0	0.2321	0	0.0074	0.5621	0.1218
