B.cells.naive	B.cells.memory	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated
A	0.0828	0.1036	0.0913	0.1392	0.056	0.1905	0.0604	0.045	0.154	0	0.0773
B	0.0671	0.1308	0.0909	0.0899	0.0758	0.2195	0.0661	0.0544	0.1402	0	0.0653
C	0.0608	0	0.2817	0.3189	0.1521	0.1261	0.0051	0.0102	0.018	0	0.0271
D	0.0251	0.0244	0.2762	0.3122	0.1154	0.1773	0	0.0162	0.0251	0	0.028
E	0	0.0428	0.0856	0.1071	0.1067	0.5347	0.0059	0.0277	0.038	0	0.0514
F	0.0541	0.0156	0	0	0.0813	0.5829	0.0018	0.0304	0.1144	0	0.1194
G	0.064	0.1273	0.0998	0.1042	0.0251	0	0.1506	0.0709	0.2073	0	0.1507
H	0.0191	0.1145	0.0179	0.1077	0.0109	0	0.1968	0.1384	0.2652	0	0.1296
I	0.0133	0.1272	0	0.1205	0.0123	0	0.2058	0.1165	0.278	0	0.1264
J	6e-04	0.0516	0.3275	0.3584	0.1787	0.0292	0.006	0.0105	0.0176	0	0.0199
K	0.0104	0.0412	0.1199	0.1259	0.1067	0.515	0	0.0174	0.013	0	0.0506
L	0	0.0132	0.1794	0.4475	0.1928	0.0453	0	0.0023	0.018	0.0511	0.0503
