naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
mix_1	0.0621	0	0.2771	0.3662	0	0.0377	0.2568	0
mix_2	0.0396	0.0453	0.3504	0.2094	0	0.0766	0.2787	0
mix_3	0.069	0	0.4227	0.505	0	0	0.0033	0
mix_4	0.1683	0	0.317	0.3811	0	0	0.1335	0
mix_5	0.1109	0	0.1743	0.5935	0	0	0.1212	0
mix_6	0.1132	0	0.2665	0.4183	0	0	0.202	0
mix_7	0.2062	0	0.282	0.4284	0	0	0.0833	0
mix_8	0.2103	0	0.4491	0.1028	0	0	0.2378	0
mix_9	0.0355	0	0.29	0.4642	0	0	0.2103	0
mix_10	0.2488	0	0.2724	0.3663	0	0	0.1125	0
mix_11	0.0442	0.0572	0.4167	0.1612	0	0.0575	0.2633	0
mix_12	0.0222	0	0.3558	0.348	0	0.0215	0.2524	0
mix_13	0.2609	0	0.2038	0.4464	0	0	0.0889	0
mix_14	0.2712	0	0.2169	0.39	0	0	0.1219	0
mix_15	0.2287	0	0.0187	0.7102	0	0	0.0424	0
mix_16	0.1171	0	0.3896	0.3986	0	0	0.0948	0
mix_17	0.3422	0	0.1986	0.4592	0	0	0	0
mix_18	0.06	0.0614	0.3693	0.1532	0.0063	0.0774	0.2725	0
mix_19	0.1872	0	0.2838	0.3359	0	0	0.1931	0
mix_20	0	0	0.1274	0.8726	0	0	0	0
mix_21	0.1665	0	0.2781	0.4576	0	0	0.0978	0
mix_22	0.2102	0	0.1321	0.4643	0	0	0.1935	0
mix_23	0.2164	0	0.3945	0.2194	0	0	0.1697	0
mix_24	0.0172	0.0873	0.3506	0.1653	0.0068	0.0999	0.2731	0
mix_25	0.0214	0	0.4751	0.3205	0	0	0.183	0
mix_26	0	0	0.1509	0.8491	0	0	0	0
mix_27	0.2804	0	0.25	0.1512	0	0.0507	0.2677	0
mix_28	0.0812	0	0.22	0.6988	0	0	0	0
mix_29	0.0953	0	0.326	0.4015	0	0	0.1772	0
mix_30	0.1274	0	0.3036	0.3865	0	0	0.1824	0
mix_31	0.0902	0	0.424	0.3001	0	0	0.1857	0
mix_32	0.1167	0	0.304	0.4669	0	0	0.1124	0
mix_33	0.1515	0	0.3904	0.2636	0	0	0.1945	0
mix_34	0.0464	0.0087	0.3509	0.2873	0	0.0592	0.2476	0
mix_35	0.0948	0	0.223	0.4517	0	0	0.2304	0
mix_36	0.2113	0	0.4356	0.2887	0	0	0.0644	0
mix_37	0.203	0	0.4928	0.2071	0	0	0.0972	0
mix_38	0.0102	0	0.3127	0.6771	0	0	0	0
mix_39	0.2138	0	0.0776	0.6673	0	0	0.0412	0
mix_40	0.1634	0	0.4685	0.1748	0	0	0.1933	0
mix_41	0.0766	0	0.2548	0.3896	0	0.024	0.255	0
mix_42	0.2056	0	0.2252	0.5693	0	0	0	0
mix_43	0	0	0.1882	0.698	0	0	0.1138	0
mix_44	0.0159	0	0.3887	0.528	0	0	0.0674	0
mix_45	0	0	0.5337	0.3173	0	0	0.149	0
mix_46	0.0987	0	0.1172	0.7483	0	0	0.0358	0
mix_47	0.1562	0	0.3859	0.2569	0	0	0.201	0
mix_48	0.2722	0.0067	0.2426	0.1504	0	0.0626	0.2656	0
mix_49	0.2052	0	0.1708	0.381	0	0	0.243	0
mix_50	0.1511	0	0.4207	0.4196	0	0	0.0086	0
mix_51	0.2338	0	0.3084	0.1883	0	0.0306	0.2389	0
mix_52	0.2656	0	0.2225	0.5119	0	0	0	0
mix_53	0.2293	0	0.2615	0.2561	0	0	0.2531	0
mix_54	0.2245	0	0.1351	0.6404	0	0	0	0
mix_55	0.195	0	0.257	0.2932	0	0.0061	0.2487	0
mix_56	0.0717	0	0.4664	0.3593	0	0	0.1025	0
mix_57	5e-04	0	0.4137	0.3806	0	0	0.2052	0
mix_58	0.1099	0	0.236	0.5603	0	0	0.0938	0
mix_59	0.0379	0	0.2383	0.4594	0	0.0099	0.2545	0
mix_60	0.2297	0	0.3037	0.3098	0	0	0.1568	0
mix_61	0.1037	0	0.4696	0.4267	0	0	0	0
mix_62	0.1178	0	0.3766	0.5056	0	0	0	0
mix_63	0.0402	0	0.3945	0.3328	0	0.0051	0.2274	0
mix_64	0.1777	0	0.4621	0.1362	0	0	0.224	0
mix_65	0.1212	0	0.1366	0.6127	0	0	0.1295	0
mix_66	0.2325	0	0.2269	0.2547	0	0.0272	0.2588	0
mix_67	0.2004	0	0.1708	0.6288	0	0	0	0
mix_68	0.0346	0	0.0803	0.8441	0	0	0.041	0
mix_69	0.1768	0	0.4187	0.1754	0	0	0.2291	0
mix_70	0.3362	0	0.0454	0.4332	0	0	0.1852	0
mix_71	0.2768	0.0067	0.3635	0.0425	0	0.049	0.2616	0
mix_72	0.3342	0	0.3787	0.2442	0	0	0.0428	0
mix_73	0.2636	0	0.1216	0.4698	0	0	0.145	0
mix_74	0.1959	0	0.4164	0.2446	0	0	0.1432	0
mix_75	0.2284	0	0.3555	0.1176	0	0.04	0.2584	0
mix_76	0.0357	0	0.2275	0.6474	0	0	0.0895	0
mix_77	0	0	0.3057	0.6943	0	0	0	0
mix_78	0.1726	0	0.2493	0.3364	0	0	0.2416	0
mix_79	0.0574	0	0.4072	0.2753	0	0.0207	0.2394	0
mix_80	0.1992	0	0.3174	0.3802	0	0	0.1032	0
