Symbol,B cells naive,B cells memory,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated
A,7.34308571429,6.92,7.545096275,8.06357142857,5.86384104566,7.88085714286,6.67184615385,7.04018421053,7.30601537631,6.50197314711,6.36554564956
B,7.43214285714,7.04364285714,7.49365217391,8.16457142857,5.85085287394,8.32814285714,6.93461538462,7.10534210526,7.39693065963,6.3444772623,6.44706917658
C,6.64443959277,6.23692857143,8.04434782609,8.74126260522,6.09100856828,8.20467798872,5.86831762227,6.07311840214,6.43817723872,6.10014285714,6.05377272727
D,6.680148052,6.15371428571,8.1014594383,8.75019283722,6.00233333333,8.22628571429,5.86415384615,6.08947368421,6.33013636364,6.11342857143,6.0715
E,6.72973446192,6.29614285714,7.76543527054,8.39795599646,5.84641666667,8.934,6.14930769231,6.47421052632,6.40081818182,6.12685714286,6.28581818182
F,6.78499639385,6.30264285714,7.03843478261,7.72614285714,5.73975,7.71542857143,6.37192307692,6.43718841852,6.78540909091,6.18842857143,6.23696013265
G,7.23937727377,6.90764285714,7.13595652174,7.71442857143,5.59558333333,7.25814285714,7.33198045546,7.22547368421,7.59640990939,6.92438321579,6.66627272727
H,6.92188365458,6.59964285714,6.57904347826,7.31879309174,5.263,7.03557142857,7.09259613271,7.37897638943,7.71502258894,6.23795238095,6.71028723899
I,6.88873974614,6.81475530929,6.52326086957,7.41296512958,5.25491666667,7.05381516672,7.10976923077,7.44442654371,7.86586363636,6.12998527127,6.54248235365
J,6.48154785877,6.13042857143,8.08835923228,8.78992857143,6.13358333333,7.42465219557,5.46107692308,5.77596401518,6.0415,6.07704761905,5.74268014567
K,6.58837899472,5.94414285714,7.85765324993,8.5474850096,6.0335,8.77423440274,5.22969230769,5.67568271665,5.72722727273,5.85719047619,5.87604545455
L,6.18218545101,6.02171428571,7.80560869565,8.84546404418,6.17099882704,7.45828571429,5.78315384615,5.88931578947,6.2195,6.95647619048,6.23477272727
