B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
mix_1	0	0	0.0909	0.0424	0.1936	0.0068	0.0797	0	0.1357	0.4508
mix_2	0	0.0722	0.0456	0.1024	0.1549	0.0471	0.2084	0.1489	0.128	0.0924
mix_3	0	0.1111	0.26	0.0928	0.1561	0	0.2373	0.0258	0.1169	0
mix_4	0	0	0	0.0238	0.12	0.0041	0.2009	0.1838	0.1937	0.2737
mix_5	0	0.0276	0.0782	0.0545	0.1454	0.0083	0.2023	0.0656	0.1715	0.2466
mix_6	0	0	0	0.0125	0.1259	0.0025	0.171	0.1583	0.1787	0.351
mix_7	0	0.0648	0.1273	0.0868	0.1548	0.0106	0.2462	0.0678	0.1504	0.0913
mix_8	0	0.0376	0.1136	0.0707	0.1996	0.0177	0.1928	0.0088	0.1368	0.2224
mix_9	0	0	0	0.006	0.1049	0	0.1416	0.1662	0.1728	0.4084
mix_10	0	0.0597	0.1213	0.055	0.1005	0	0.2741	0.2325	0.1568	0
mix_11	0	0.0306	0.0612	0.0408	0.1685	0.0291	0.1542	0.0514	0.1405	0.3238
mix_12	0	0	0.0702	0.0274	0.1584	0	0.2049	0.1326	0.1698	0.2367
mix_13	0	0	0.0403	0.0328	0.0978	0	0.2109	0.3511	0.1793	0.0878
mix_14	0	0.0078	0.0394	0.0114	0.1099	0	0.1919	0.2526	0.187	0.2
mix_15	0	0.0224	0.0693	0.0547	0.1529	0.0053	0.1765	0.0728	0.1746	0.2715
mix_16	0	0.1294	0.1922	0.106	0.1207	0.0046	0.2954	0	0.1517	0
mix_17	0	0.1036	0.1727	0.1351	0.0949	0.0144	0.2914	0.026	0.1619	0
mix_18	0	0.0355	0.1291	0.0321	0.1023	0	0.237	0.2841	0.1799	0
mix_19	0.0399	0.0498	0.2488	0.1024	0.1731	0	0.2348	0.0243	0.1269	0
mix_20	0	0.0189	0	0.0417	0.1121	0.0088	0.2002	0.2243	0.1875	0.2064
mix_21	0.0106	0.0391	0.125	0.0603	0.1282	0	0.2631	0.2066	0.1669	0
mix_22	0	0.0074	0.1081	0.0265	0.1583	0	0.1526	0.1133	0.1489	0.2848
mix_23	0	0.0142	0.0347	0.052	0.1284	0.0046	0.1885	0.2156	0.1688	0.1931
mix_24	0	0.0269	0.0541	0.0558	0.1249	0.0117	0.2399	0.1297	0.1796	0.1775
mix_25	0	0	0	0.0043	0.098	0	0.1776	0.2204	0.184	0.3157
mix_26	0.0293	0.0245	0.206	0.0475	0.14	0	0.2462	0.1709	0.1356	0
mix_27	0	0	0.0345	0.0401	0.1338	0.0143	0.1381	0.1056	0.1553	0.3782
mix_28	0	0.0102	0.0154	0.0243	0.1256	0.0069	0.2075	0.1591	0.1773	0.2737
mix_29	0	0.0115	0.0721	0.0435	0.1748	0.0163	0.1335	0.0555	0.1449	0.348
mix_30	0	0	0.0081	0.0087	0.1184	0	0.1735	0.2029	0.1904	0.298
mix_31	0	0.0086	0.0897	0.0371	0.1467	0	0.2155	0.1998	0.1714	0.1312
mix_32	0	0.0095	0.0666	0.0253	0.0966	0	0.2158	0.2781	0.1764	0.1317
mix_33	0	0.0146	0.1315	0.0295	0.1345	0	0.2387	0.263	0.1637	0.0245
mix_34	0.0136	0.0983	0.2454	0.073	0.1362	0.0013	0.2302	0.0998	0.1023	0
mix_35	0	0	0.058	0.0241	0.1555	0	0.1921	0.1477	0.1665	0.2561
mix_36	0	0.021	0.1153	0.058	0.1499	0	0.2036	0.1294	0.1533	0.1694
mix_37	0	0.0777	0.1661	0.0861	0.1569	0.0016	0.2588	0.078	0.151	0.0236
mix_38	0	0.0593	0.1605	0.0854	0.1583	0.0026	0.2228	0.0436	0.1469	0.1206
mix_39	0	0.0071	0.0078	0.0341	0.1417	0.0148	0.1943	0.1555	0.1684	0.2763
mix_40	0	0.0123	0.119	0.0304	0.141	0	0.2151	0.1851	0.1716	0.1254
mix_41	0.0166	0.0451	0.227	0.0601	0.1359	0	0.2452	0.1404	0.1298	0
mix_42	0	0.0207	0	0.0513	0.0692	0.006	0.2457	0.3617	0.2242	0.0213
mix_43	0	0.0709	0.1743	0.0588	0.1085	0	0.2518	0.1852	0.1504	0
mix_44	0	0.0396	0.0329	0.0598	0.1126	0.0203	0.2118	0.1636	0.1594	0.2
mix_45	0	0.0412	0.0724	0.0704	0.1653	0.0122	0.2019	0.0818	0.1657	0.1891
mix_46	0.0085	0.0368	0.2224	0.0492	0.1539	0	0.2243	0.1364	0.1362	0.0323
mix_47	0	0.1614	0.2266	0.111	0.1077	0.0141	0.2759	0	0.1034	0
mix_48	0	0.0393	0.0828	0.046	0.0807	0	0.2446	0.3157	0.1909	0
mix_49	0	0.0444	0.2182	0.0441	0.1701	0	0.1772	0.1241	0.1116	0.1103
mix_50	0	0	0.018	0.0279	0.1602	0.0071	0.1783	0.134	0.1962	0.2783
mix_51	0.0036	0.0835	0.216	0.0731	0.1283	0	0.2619	0.0922	0.1415	0
mix_52	0	0.0747	0.1937	0.0612	0.1511	0	0.2325	0.1665	0.1202	0
mix_53	0	0.1124	0.1257	0.0864	0.0817	0.0173	0.2294	0.2142	0.133	0
mix_54	0	0.0226	0.0693	0.0329	0.1041	0	0.2425	0.2005	0.1805	0.1474
mix_55	0	0.029	0.1162	0.0386	0.1209	0	0.2616	0.2533	0.1804	0
mix_56	0	0	0.0605	0.0015	0.1268	0	0.1963	0.2186	0.1833	0.213
mix_57	0	0	0.0021	0	0.1494	0.0053	0.1706	0.1542	0.1632	0.3552
mix_58	0	0.0028	0.0735	0.0409	0.1524	0.0029	0.1902	0.107	0.1715	0.2587
mix_59	0	0.1174	0.2133	0.0864	0.114	0.0142	0.2443	0.0898	0.1204	0
mix_60	0	0.0275	0.1032	0.0437	0.1222	0	0.2232	0.2973	0.1647	0.0183
mix_61	0	0.0315	0.0967	0.0523	0.136	0	0.2214	0.1148	0.1676	0.1797
mix_62	0.0036	0.0719	0.2011	0.1	0.1342	0	0.2345	0.094	0.1532	0.0075
mix_63	0	0	0.062	0.0302	0.1383	0	0.2015	0.1496	0.174	0.2444
mix_64	0	0.1594	0.1818	0.1237	0.0749	0.0342	0.3019	0	0.1242	0
mix_65	0.0058	0.0843	0.2308	0.0884	0.1382	0	0.2386	0.1041	0.1096	0
mix_66	0	0.103	0.161	0.1068	0.1587	0.0204	0.2098	0.1231	0.1173	0
mix_67	0	0.0367	0.0925	0.0527	0.1441	0.0152	0.1632	0.0338	0.1485	0.3134
mix_68	0	0.0513	0.1164	0.0823	0.1372	0	0.2477	0.195	0.1702	0
mix_69	0	0.0285	0	0.0604	0.0895	0.0127	0.2364	0.2432	0.1718	0.1576
mix_70	0.0168	0.0448	0.1979	0.0749	0.1423	0	0.2663	0.109	0.1481	0
mix_71	0	0.0618	0.1538	0.0856	0.1458	0	0.2279	0.1068	0.1538	0.0646
mix_72	0	0.0799	0.2006	0.0894	0.148	0	0.2765	0.052	0.1334	0.0203
mix_73	0	0.0691	0.1503	0.0795	0.1203	0	0.2805	0.1069	0.1935	0
mix_74	0	0	0	0.038	0.0894	0.0031	0.2011	0.2616	0.1809	0.226
mix_75	0	0.0423	0.0861	0.0593	0.0883	0	0.2503	0.2727	0.192	0.0091
mix_76	0	0.0377	0.1645	0.0751	0.1795	1e-04	0.1753	0	0.1324	0.2354
mix_77	0	0.0201	0.0452	0.033	0.1126	0.0018	0.2107	0.2078	0.176	0.1929
mix_78	0	0.0455	0.1166	0.0573	0.1324	0	0.2609	0.1715	0.1699	0.0457
mix_79	0	0.157	0.2169	0.0975	0.0797	0.0061	0.2699	0.0299	0.143	0
mix_80	0	0.114	0.1529	0.0741	0.0705	0	0.2344	0.214	0.14	0
mix_81	0	0.1409	0.2749	0.1032	0.109	0.0095	0.2019	0.0662	0.0944	0
mix_82	0.0479	0.0625	0.308	0.1129	0.1509	0	0.2261	0	0.0918	0
mix_83	0.0151	0.0175	0.1191	0.0476	0.1366	0	0.2641	0.1908	0.1984	0.0108
mix_84	0	0.0408	0.1256	0.0603	0.179	0.0015	0.2199	0.0638	0.155	0.154
mix_85	0.0306	0.0685	0.2425	0.1109	0.1544	4e-04	0.2194	0.0546	0.1186	0
mix_86	0	0.0273	0.0484	0.0483	0.1178	0.0028	0.2112	0.1674	0.1739	0.203
mix_87	0	0	0	0.0114	0.1024	0.0032	0.1458	0.1632	0.1871	0.3869
mix_88	0	0	0.0755	0.0207	0.1436	0	0.1792	0.18	0.1692	0.2318
mix_89	0	0.1977	0.1931	0.1301	0.0436	0.0284	0.2628	0.034	0.1103	0
mix_90	0	0	0	0.0026	0.1313	0	0.1139	0.117	0.1758	0.4594
mix_91	0	0	0.0766	0.0346	0.1552	0	0.1629	0.1263	0.1769	0.2676
mix_92	0	0.0128	0.0365	0.0405	0.1111	0.005	0.2206	0.2366	0.1845	0.1525
mix_93	0	0.1186	0.1958	0.0997	0.1045	0.0108	0.304	0	0.1666	0
mix_94	0	0	0.0065	0.0079	0.1296	0	0.1675	0.1913	0.1885	0.3087
mix_95	0	0	0.0259	0.0028	0.1429	0	0.2199	0.2562	0.1936	0.1588
mix_96	0	0.0514	0.1288	0.0587	0.1548	0.0036	0.2126	0.194	0.1487	0.0473
mix_97	0	0.0077	0.0631	0.0556	0.1112	0.0016	0.2025	0.2367	0.177	0.1445
mix_98	0	0.0027	0.1031	0.036	0.1199	0	0.2319	0.2692	0.1894	0.0479
mix_99	0	0.1535	0.191	0.1492	0.0469	0.0346	0.2621	0	0.1627	0
mix_100	0	0	0.0785	0.0282	0.1507	0	0.216	0.1623	0.1749	0.1894
