B.cells.naive	B.cells.memory	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated
mix_1	0.0436	0.0147	0.0633	0.0136	0	0.367	0.1058	0.0138	0.2735	0	0.1048
mix_2	0.0212	0.0315	0.0909	0.0287	0	0.1742	0.1672	0.0054	0.3303	0	0.1508
mix_3	0.1717	0	0.294	0.2098	0.0291	0.2645	0	0.0175	0.0134	0	0
mix_4	0.2604	0	0.1757	0.1107	0	0.3016	0.0018	0.0152	0.1347	0	0
mix_5	0.1584	6e-04	0.153	0.0167	0.0096	0.5215	0	0.028	0.1088	0	0.0034
mix_6	0.1576	0.0056	0.157	0.0563	0	0.3221	0.0638	0.0073	0.2022	0	0.0281
mix_7	0.3116	0	0.1764	0.0968	0	0.3319	0	0.0184	0.0648	0	0
mix_8	0.3	0.0303	0.1772	0.1231	0	0	0.0945	0.0031	0.2341	0	0.0377
mix_9	0.0601	0.0023	0.1017	0.053	0	0.4425	0.0548	0.0133	0.2076	0	0.0648
mix_10	0.387	0.0421	0.2623	0.1089	0	0.087	0	9e-04	0.1118	0	0
mix_11	0.0643	0.0217	0.0817	0.0935	0	0.1518	0.1465	0.0069	0.3088	0	0.1249
mix_12	0.0173	0.0171	0.175	0.0563	0	0.235	0.1233	0.0096	0.2638	0	0.1026
mix_13	0.4006	0	0.099	0.0535	0	0.3617	0	0.013	0.0721	0	0
mix_14	0.4221	0.0452	0.2215	0.0726	0	0.1523	0	0	0.0863	0	0
mix_15	0.2806	0	0.012	0	0	0.6649	0	0.038	0.0045	0	0
mix_16	0.2177	0	0.2631	0.1631	0.0139	0.2343	0	0.0144	0.0935	0	0
mix_17	0.4586	0.0407	0.271	0.1073	0.0047	0.1177	0	0	0	0	0
mix_18	0.0461	0.0509	0.1037	0.0312	0	0.0825	0.1879	0	0.3497	0	0.148
mix_19	0.2609	0	0.1551	0.0546	0	0.2542	0.0564	0.009	0.1785	0	0.0314
mix_20	0.0797	0	0.2715	0.0526	0.0317	0.5645	0	0	0	0	0
mix_21	0.2879	0.0077	0.2592	0.0853	0	0.2712	0	0.0076	0.0812	0	0
mix_22	0.2862	0	0.0615	0.0121	0	0.4123	0.0213	0.0161	0.1623	0	0.0282
mix_23	0.3522	0.0031	0.1905	0.1421	0	0.0809	0.0448	0.0072	0.1792	0	0
mix_24	0.0237	0.0196	0.0309	0	0	0.2021	0.1786	0.0134	0.3691	0	0.1625
mix_25	0.0531	0.0286	0.2849	0.1801	0	0.1328	0.0868	0.0028	0.2005	0	0.0304
mix_26	0.006	0	0.1446	0.0543	0.0488	0.7225	0	0.0238	0	0	0
mix_27	0.312	0.005	0	0	0	0.2304	0.0906	0.0098	0.2632	0	0.0888
mix_28	0.1606	0	0.253	0.118	0.0268	0.4415	0	0	0	0	0
mix_29	0.1426	0	0.1566	0.0676	0	0.3535	0.0433	0.0198	0.1811	0	0.0354
mix_30	0.1966	0.0034	0.1674	0.0736	0	0.2997	0.0425	0.0158	0.1733	0	0.0277
mix_31	0.1351	0.0133	0.2163	0.1676	0	0.1553	0.0706	0.0134	0.195	0	0.0334
mix_32	0.1814	0	0.2144	0.117	0.0027	0.3208	0.011	0.02	0.1273	0	0.0055
mix_33	0.2154	7e-04	0.149	0.1246	0	0.1899	0.0629	0.0109	0.2147	0	0.0318
mix_34	0.03	0.0118	0.0977	0.0369	0	0.2566	0.1348	0.0074	0.3005	0	0.1245
