B.cells.naive	B.cells.memory	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated
A	0.0686659807481075	0.165164500928848	0.0968286676524536	0.224407090690559	0.0367609561156383	0.0380279412439932	0.0492515464970487	0.00967448134017447	0.0867454038625268	0.17779131834855	0.0466821125721002
B	0.0672586552230629	0.160442524453171	0.0958137155754688	0.229650936191726	0.0368100668129677	0.0372242833661326	0.053312319507669	0.00961511983419278	0.087583283102186	0.173466717396881	0.048822378536543
C	0.0570591602379002	0.15200404951138	0.111515718259459	0.236573631611163	0.0394655981449598	0.0382751904265086	0.0477209600146521	0.00944959685272863	0.0771919736171048	0.180440365460198	0.0503037558639462
D	0.0562197739911281	0.150837562792858	0.108689810840554	0.246177014959464	0.03866153215531	0.0371876351826635	0.045094885994935	0.00873283432094808	0.0781435266773228	0.18182782150711	0.0484276015777068
E	0.0593979547079034	0.158113047493792	0.0989220087125599	0.236771028248034	0.0388405730199631	0.0437283513517214	0.0507893438734979	0.00948716581089438	0.0859874060951001	0.166695477389993	0.0512676432965407
F	0.0610366207167524	0.154553345121141	0.0884017092576401	0.23554601184911	0.0402171224583232	0.0368447423629537	0.0504814168225411	0.00979096831802948	0.087683419398592	0.185421783690275	0.0500228600046418
G	0.0669842852079935	0.163425575761898	0.0922607902492132	0.216186415131739	0.0328748575854405	0.0327410903452936	0.0539453756434243	0.0103070136762307	0.087393194880672	0.198297117436297	0.0455842840817979
H	0.0630869056165882	0.162646774739073	0.0864618816176301	0.225844483074121	0.0347633019809487	0.0318916347655603	0.0567818761660927	0.0104473058890992	0.0914826512223405	0.180988346570733	0.0556048383578131
I	0.0657479103900808	0.166066915623864	0.0874114517761941	0.217013267665331	0.0340222297054777	0.0326139943895089	0.0581126499221294	0.0112185194842134	0.0934547289570404	0.181578926336839	0.0527594057493218
J	0.0534475600523523	0.14463854486124	0.112285343970757	0.250762853280089	0.040610348990517	0.0298872528628074	0.0436520809464743	0.00901212609928449	0.0775817908104898	0.192271655870764	0.0458504422552249
K	0.0575846408724409	0.156755780275358	0.103243633769304	0.243970443934454	0.0439395187219801	0.045708894651707	0.039286664342132	0.00936096370747404	0.0744319541319155	0.177677581734569	0.0480399238586661
L	0.0475521153007381	0.128897706786754	0.108071487024541	0.249121747611818	0.0403034666634953	0.0320290067659173	0.0476833795660558	0.00972668683876384	0.0811033432582684	0.202443854148315	0.0530672060353327
