naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
Mix_1	0.044	0	0.2128	0.4951	0	0	0.2482	0
Mix_2	0.1474	0	0.2532	0.4916	0	0	0.1077	0
Mix_3	0.0231	0	0	0.8659	0	0	0.1109	0
Mix_4	0.0735	0	0	0.8757	0	0	0.0508	0
Mix_5	0.326	0	0	0.6252	0	0	0.0488	0
Mix_6	0.1419	0	0.0946	0.4229	0	0.0194	0.3212	0
Mix_7	0.072	0	0.0677	0.8484	0	0	0.0119	0
Mix_8	0.0901	0	0.4406	0.3191	0	0	0.1502	0
Mix_9	0.1498	0	0.1024	0.642	0	0	0.1058	0
Mix_10	0.2094	0	0	0.5729	0	0	0.2177	0
Mix_11	0.0854	0	0.3356	0.5482	0	0	0.0307	0
Mix_12	0	0	0.1348	0.6537	0	0	0.2115	0
Mix_13	0.234	0	0.016	0.6574	0	0	0.0926	0
Mix_14	0.0107	0	0	0.9893	0	0	0	0
Mix_15	0.0111	0	0.3597	0.6046	0	0	0.0246	0
Mix_16	0.1029	0	0.2794	0.5095	0	0	0.1081	0
Mix_17	0.0398	0	0.238	0.695	0	0	0.0272	0
Mix_18	0	0	0.5774	0.4105	0	0	0.0121	0
Mix_19	0.0534	0	0.0471	0.6476	0	0	0.2519	0
Mix_20	0.1465	0	0.2112	0.4647	0	0	0.1776	0
Mix_21	0.1271	0	0.252	0.3919	0	0	0.229	0
Mix_22	0.0425	0	0.1295	0.563	0	0.0027	0.2622	0
Mix_23	0.2064	0	0.2673	0.4206	0	0	0.1057	0
Mix_24	0	0	0.509	0.4523	0	0	0.0386	0
Mix_25	0.2186	0	0.0411	0.7259	0	0	0.0145	0
Mix_26	0.0839	0	0.2569	0.6365	0	0	0.0227	0
Mix_27	0.1475	0	0.2038	0.4556	0	0	0.1932	0
Mix_28	0.0901	0	0.2214	0.4941	0	0	0.1944	0
Mix_29	0.1348	0	0.2429	0.6055	0	0	0.0168	0
Mix_30	0.1242	0	0	0.8758	0	0	0	0
Mix_31	0.1203	0	0.2633	0.5323	0	0	0.0841	0
Mix_32	0	0	0.5418	0.3785	0	0	0.0797	0
Mix_33	0	0	0.3159	0.5832	0	0	0.1009	0
Mix_34	0.1654	0	0.0879	0.45	0	0.0025	0.2942	0
Mix_35	0.0959	0	0.1141	0.72	0	0	0.07	0
Mix_36	0.1292	0	0.1078	0.6635	0	0	0.0995	0
Mix_37	0.0447	0	0	0.826	0	0	0.1292	0
Mix_38	0	0	0.2254	0.6117	0	0	0.1629	0
Mix_39	0.1704	0	0.429	0.1514	0	0	0.2492	0
Mix_40	0.1564	0	0	0.7697	0	0	0.0739	0
Mix_41	0.1282	0	0.0163	0.7164	0	0	0.1391	0
Mix_42	0.0888	0	0.3427	0.5488	0	0	0.0197	0
Mix_43	0.1924	0	0	0.5902	0	0	0.2174	0
Mix_44	0.0358	0	0.1301	0.6357	0	0	0.1984	0
Mix_45	0.0364	0	0.0954	0.7333	0	0	0.135	0
Mix_46	0.1169	0	0.2354	0.5321	0	0	0.1156	0
Mix_47	0.1058	0	0.1228	0.529	0	0	0.2425	0
Mix_48	0.1186	0	0.193	0.6135	0	0	0.075	0
Mix_49	0.0479	0	0	0.9467	0	0	0.0054	0
Mix_50	0	0	0.3091	0.6205	0	0	0.0704	0
Mix_51	0.1012	0	0.3259	0.4897	0	0	0.0832	0
Mix_52	0	0	0.013	0.9057	0	0	0.0813	0
Mix_53	0.0947	0	0.2279	0.4787	0	0	0.1988	0
Mix_54	0.1007	0	0	0.6267	0	0	0.2725	0
Mix_55	0.0088	0	0	0.9024	0	0	0.0889	0
Mix_56	0	0	0.2384	0.6197	0	0	0.1419	0
