B.cells.naive	B.cells.memory	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated
mix_1	0	0	0.0216	0	0.2118	0.589	0	0.0522	0.067	0.004	0.0545
mix_2	0	0.0276	0.1092	0.1022	0.1972	0.2841	0	0.0394	0.0844	0.1034	0.0526
mix_3	0.0068	0.0418	0.261	0.0075	0.1439	0.0729	0.0808	0.0528	0.187	0.0702	0.0751
mix_4	0	0	0.1771	0.1743	0.2671	0.3202	0	0.0327	0.0193	0	0.0094
mix_5	0	0.005	0.1779	0.0653	0.2302	0.3467	0.0014	0.0455	0.0646	0.015	0.0483
mix_6	0	0	0.1428	0.1559	0.2596	0.3891	0	0.0325	0.0202	0	0
mix_7	0	0.0223	0.2146	0.0353	0.1864	0.2593	0.007	0.0475	0.1056	0.0371	0.0849
mix_8	0	0	0.1352	0	0.2095	0.3711	0.0033	0.0536	0.0996	0.0899	0.0377
mix_9	0	0	0.1185	0.1709	0.2624	0.4229	0	0.0253	0	0	0
mix_10	0	0.0512	0.2255	0.2497	0.2122	0.0614	0	0.0387	0.107	0	0.0542
mix_11	0	0.0135	0.0606	0.0614	0.2202	0.4617	0	0.0366	0.0699	0.0273	0.0487
mix_12	0	0	0.1974	0.1181	0.24	0.3158	0	0.0486	0.0502	0	0.0299
mix_13	0	0	0.1914	0.3176	0.256	0.1517	0	0.0333	0.05	0	0
mix_14	0	0.0103	0.1465	0.243	0.2598	0.2625	0	0.0321	0.0406	0	0.005
mix_15	0	0	0.1536	0.056	0.2494	0.3704	0	0.0557	0.0683	0.0294	0.0171
mix_16	0	0.0706	0.3193	0	0.1653	0.0382	0.0643	0.0565	0.1718	0.0999	0.0141
mix_17	0.0227	0.0306	0.2933	0.0589	0.1927	0.0202	0.0569	0.0521	0.1608	0.0835	0.0284
mix_18	0.0161	0.0163	0.2108	0.2963	0.2575	0	0	0.0435	0.1093	7e-04	0.0496
mix_19	0.0366	0	0.2321	0	0.1548	0.1294	0.0548	0.062	0.197	0.0686	0.0647
mix_20	0	0.0198	0.1632	0.2122	0.2654	0.2528	0	0.0372	0.0437	0.0058	0
mix_21	0.0324	0	0.2848	0.2064	0.2232	0.0347	0.0074	0.0549	0.1202	0.0312	0.0047
