Mixture	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	P-value	Correlation	RMSE	Absolute score (sig.score)
Mix_1	0	0.21615399760376	0.297717661205106	0.278987463084176	0.106071745925653	0	0	0.172622923006186	0	0.456457840594912	9999	0.543339380341213	0.84028560462862	1.52801163141979
Mix_2	0	0.398934322988576	0.128587082784494	0.219998688402669	0.0722382278273718	0	0	0.257786524777802	0	0.354588821525125	9999	0.593942171268747	0.803523651529172	1.43213366830604
Mix_3	0.0140729370800192	0.0971532915353617	0.121263757075582	0.190019991307118	0.149938346750458	0	0	0.0223400094537521	0	0.699573921561741	9999	0.578363035093076	0.828128203994115	1.29436225476403
Mix_4	0.0172852240677693	0.125116420867454	0.0658011491072893	0.151435506030946	0.176636008952071	0	0	0.048106538719318	0	0.660391840278683	9999	0.599731596012566	0.811289040339376	1.24477268802353
Mix_5	0	0.484621644948696	0.0284886670286463	0.245472781687438	0.0887691081620625	0	0	0.0649598055234247	0	0.379909494408634	9999	0.612078221755231	0.789941321041213	1.2922215017589
Mix_6	0	0.377485783776848	0.361051519440304	0.194388763161137	0.10936649105674	0	0	0.0605194972932999	0	0.476965088817819	9999	0.551544930371605	0.832951039026691	1.57977714354615
Mix_7	0	0.257166785671377	0.0529416981420836	0.00842245216494074	0.183415754188996	0	0	0.181523283777357	0	0.576355051017437	9999	0.631015707186539	0.775312209433245	1.25982502496219
Mix_8	0	0.462350858915225	0.247553871398267	0	0.0893427129693137	0	0.01644407318737	0.208959573296752	0	0.458172847303679	9999	0.620723972734408	0.788372506478054	1.48282393707061
Mix_9	0	0.330292324333653	0.0960125160307963	0.152918547142996	0.125738693716685	0	0	0.147488004857115	0	0.550962183764588	9999	0.602627442865481	0.797352166349367	1.40341226984583
Mix_10	0	0.441836021120219	0.204489756944203	0.105500162935037	0.10881235650092	0	0	0.0869462784224993	0	0.551044444968686	9999	0.597686515479501	0.801322023184803	1.49862902089157
Mix_11	0	0.275331423894824	0.0698884204027889	0.159245687968037	0.121918467374774	0	0	0.266338093468952	0	0.421504878711522	9999	0.605313346929567	0.79538984963676	1.3142269718209
Mix_12	0	0.0994787725863378	0.242526441241661	0.109656963048569	0.184026695196135	0	0	0.0560710136519944	0	0.658812221693237	9999	0.552976624201541	0.839653678579407	1.35057210741793
Mix_13	0	0.454635643421974	0.086188014158677	0.121091673481576	0.108077800950479	0	0	0.100575355501834	0	0.426350697140605	9999	0.633563371618185	0.773821473569608	1.29691918465515
Mix_14	0	0.101382515980905	0.0164513066432911	0.183069953255984	0.0832603197907822	0	0	0.138178972319381	0	0.530709009019569	9999	0.604140660204954	0.808198751104152	1.05305207700991
Mix_15	0	0.238606291759116	0.0988814175651779	0	0.145638973142691	0	0	0.175008919270189	0	0.602805453687405	9999	0.621914074032933	0.782127500875559	1.26094105542458
Mix_16	0	0.410507804201844	0.17132457913196	0	0.151419816500706	0	0	0.189790243751887	0	0.523871346246954	9999	0.636505620531594	0.773123641127425	1.44691378983335
Mix_17	0	0.272982227345377	0.0866715355581728	0	0.197039168713644	0	0	0.204513205287657	0	0.553624875542268	9999	0.63841299790817	0.768674065650678	1.31483101244712
Mix_18	0	0.19692425905252	0.145906475512926	0	0.0762189708622974	0	0.0237370152149461	0.141599472860389	0.042526596016243	0.60376653555628	9999	0.609304681454101	0.791840454016035	1.2306793250756
Mix_19	0.0046021076072545	0.138072466283789	0.285780686070423	0.101710550453177	0.220008479078048	0	0	0	0	0.710813423135503	9999	0.562513544274767	0.831033267957094	1.46098771262819
Mix_20	0	0.488890077526942	0.241958036967372	0.0496538014832541	0.159983437132208	0	0	0.179625146963758	0	0.425267986607673	9999	0.622232470507154	0.785797312908155	1.54537848668121
Mix_21	0	0.500210218837415	0.27386718435633	0	0.180997146914698	0	0	0.0941937695402109	0	0.490063122442536	9999	0.630916633029484	0.779872808038609	1.53933144209119
Mix_22	0.024947607682577	0.128658010443561	0.354141086160946	0.0491414765282878	0.231281667733825	0	0	0	0	0.760153722364401	9999	0.558769368391509	0.831379551842311	1.5483235709136
Mix_23	0	0.592307402964309	0.135755178472887	0.101611975561828	0.101419648458207	0	0	0.20781161806075	0	0.326730407641468	9999	0.628769284511685	0.780555765252363	1.46563623115945
Mix_24	0	0.0405437640716456	0.172719676848867	0	0.0800085444292156	0	0.0033675061468869	0.247403854790792	0	0.596361991946708	9999	0.621512637306854	0.782956552826091	1.14040533823411
Mix_25	0	0.453524343603003	0.0264962255485062	0.0815170303821047	0.115176033035354	0	0	0.126698385687841	0	0.437914247117951	9999	0.647039714245308	0.762166278305065	1.24132626537476
Mix_26	0	0.345763018144122	0.0784473237197672	0	0.152093632127755	0	0	0.153676248751024	0	0.538674904891323	9999	0.653922692685089	0.756552352488971	1.26865512763399
Mix_27	0	0.572912681358372	0.267176857991756	0	0.114663543611456	0	0	0.0758223810807518	0	0.492982757512076	9999	0.639370340809341	0.775754642675832	1.52355822155441
Mix_28	0	0.349664207915935	0.251788113551961	0.107937713627391	0.123544640758572	0	0	0.197845733424793	0	0.46257012707718	9999	0.589703680527043	0.8071778836422	1.49335053635583
Mix_29	0	0.382479583820043	0.0696536237543537	0	0.144355257095833	0	0	0.172131329663942	0	0.544196643534123	9999	0.648926298250927	0.760759455703407	1.3128164378683
Mix_30	0	0.218796848641277	0.0213547497886084	0.218964168160919	0.103760813555333	0	0	0.0924583509915622	0	0.501624103862541	9999	0.615369771094961	0.792754648569078	1.15695903500024
Mix_31	0	0.443068179671659	0.143698254312956	0	0.169468334798514	0	0	0.089606437524333	0	0.584384586982802	9999	0.635563205490114	0.772564752758163	1.43022579329026
Mix_32	0	0.268998088886273	0.203243352793195	0	0.0651865695369079	0	0	0.240592519842018	0.000326383579302089	0.618459717945474	9999	0.614368836648171	0.788681382301895	1.39680663258317
Mix_33	0	0.175716958584996	0.206719649596525	0	0.220435800328091	0	0	0.196098994940608	0	0.602740055499542	9999	0.623215695721011	0.781060705514765	1.40171145894976
Mix_34	0	0.393064231998963	0.305763863302916	0.171827388967821	0.0876113568225692	0	0	0.198030540913458	0	0.441576797699602	9999	0.561890634368354	0.826339649836061	1.59787417970533
Mix_35	0	0.26888636918314	0.069362369775675	0.209434507734159	0.109936761887555	0	0	0.204596373357506	0	0.46574071947725	9999	0.593407267739098	0.805806296068397	1.32795710141528
Mix_36	0	0.343731999437037	0.119346820728389	0.134602484720935	0.12995669699518	0	0	0.167051732815559	0	0.509996876117523	9999	0.614708698697056	0.78770045042385	1.40468661081462
Mix_37	0	0.116277006232319	0.126923706956783	0.191557286495729	0.159176144416056	0	0	0.0655532051910896	0	0.70163742980028	9999	0.569998502498612	0.833835788696795	1.36112477909226
Mix_38	0	0.115638580508036	0.267121757151935	0.136587551701687	0.158934625804381	0	0	0.0441131773174096	0.0136911971641244	0.670551648771733	9999	0.578791007873591	0.817279321864024	1.40663853841931
Mix_39	0	0.665271907169742	0.363664921833354	0	0.108035608057062	0	0	0.0785626211375504	0	0.418724585192779	9999	0.613883218283175	0.794887365058105	1.63425964339049
Mix_40	0.0299843128549919	0.185669019451298	0.0656132223367715	0.148866495241328	0.165457157823623	0	0	0.0674562673131436	0	0.565132358167631	9999	0.583341941210445	0.819237032997369	1.22817883318879
Mix_41	0	0.212561493191064	0.111700779779801	0.30097011892157	0.088293404699146	0	0	0.107287092847495	0	0.484478485708211	9999	0.565710545759656	0.830577856777143	1.30529137514729
Mix_42	0	0.343543347856033	0.0806185290659155	0	0.128593695037655	0	0	0.205114035033881	0	0.542119957498567	9999	0.650506866055329	0.759600026052253	1.29998956449205
Mix_43	0	0.402544215659916	0.200463145733441	0.177559242914538	0.0713421889409129	0	0	0.0265322335644602	0	0.614543374381521	9999	0.580802174467385	0.812908249180305	1.49298440119479
Mix_44	0	0.161469604468565	0.180505550384228	0.271158442762929	0.115423535099063	0	0	0.183278705691054	0	0.500390807843961	9999	0.5536249039774	0.837940383310638	1.4122266462498
Mix_45	0.0138594880770384	0.164879462387068	0.197058183656689	0	0.236751972808953	0	0	0	0	0.857662925386381	9999	0.627340933749028	0.779261272139562	1.47021203231613
Mix_46	0	0.436217546482355	0.198186266378749	0	0.0673353802960991	0	0	0.210116113264447	0	0.523957837213474	9999	0.642291857759035	0.7714063846086	1.43581314363512
Mix_47	0	0.306730253764159	0.281177103371936	0.151366970774247	0.120106693066643	0	0	0.118581350093845	0	0.556697115970009	9999	0.568464462538675	0.82156417025337	1.53465948704084
Mix_48	0	0.357925785522537	0.096309659730486	0.0885590945207568	0.181723090999602	0	0	0.167412533736493	0	0.589013707822989	9999	0.610074534327021	0.791531290372911	1.48094387233286
