Mixture	B cells naive	B cells memory	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	P-value	Correlation	RMSE
S10001	0.152292936550582	0	0.386233226043848	0	0.00069073012415752	0.226434365627615	0.105248305932564	0	0.108122640188012	0.0209777955332221	0	9999	0.285249860800866	0.992830097454807
S10006	0.179000258315298	0.0240571012285055	0.0433908131149664	0.0736535480094698	0	0.474433113430691	0.0995557624157424	0	0.101470501391887	0.00443890209343979	0	9999	0.274932148014166	1.00338219273059
S1001	0.0920426803126626	0	0	0	0	0.636781507241289	0.127237037680062	0	0.0989986792049519	0.0449400955610348	0	9999	0.353324755379164	0.965455699231329
S10010	0.0148110353412021	0.0266086578255054	0.104186114310228	0	0.0301233296560206	0.483448938988347	0.118559569126414	0	0.17993473018185	0.0423276245704331	0	9999	0.247631700068396	1.01267880863558
S10011	0.0960665740701481	0	0.31775572016876	0	0.0168209211908018	0.376284160934642	0.0800751503132013	0	0.0869632023346991	0.0260342709877474	0	9999	0.343081269569104	0.968781982131928
S10014	0.0924890243596345	0	0.0336705629260796	0	0.019734268699631	0.600133559641847	0.0604006880833701	0	0.142833501837887	0.0507383944515512	0	9999	0.333295710471698	0.97385460135758
S10026	0.0125366807254231	0.14669920264533	0.122386952053832	0.110856331356206	0.024472205436626	0.260236926261738	0.16949351587207	0	0.127292052932293	0.0260261327164812	0	9999	0.292705065933963	0.976910426908543
S10032	0.158883835871156	0	0.106801662417702	0.0489146989039471	0.0306438598640767	0.285707945596602	0.132683123243805	0	0.191687896518039	0.044676977584672	0	9999	0.266711692985808	0.986202047173315
S10036	0	0.163248773039503	0.0687597335497618	0.342318650504077	0	0.195662901104242	0.11057615438842	0	0.0866683824553738	0.0327654049586229	0	9999	0.216939389063557	1.02398228739424
S10042	0.15637381464242	0	0.00673691701445857	0	0	0.545337360044523	0.080217912404641	0	0.152502716083054	0.0588312798109041	0	9999	0.33892295234694	0.961961102841361
S10044	0.125975816997678	0	0.150694034305732	0.151718600630137	0.0115593732264517	0.310744948068863	0.0814452949276557	0	0.0794590908143067	0.0884028410291765	0	9999	0.295189552502222	0.983159503816213
S10049	0.0876064526104939	0.0640364813041369	0.0242108372369351	0.136884315092945	0.00465790417177733	0.395250235139	0.0870739338248787	0	0.152667934986539	0.0476119056332938	0	9999	0.333362840271499	0.960156767853971
