Gene,naive_B_cell,memory_B_cell,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell
mix_37,3646.4878125,24.027,374.6975,1115.482,33.13875,210.104545455,676.378,32.524375
mix_38,3264.53,14.796,508.3075,1623.531,24.231875,125.394090909,714.9625,39.09
mix_39,3624.5659375,26.757,242.4075,1239.829,21.4125,141.257727273,637.149,32.656875
mix_40,3193.0240625,18.893,298.770833333,786.515,39.86625,302.199545455,707.8765,27.78875
mix_41,2899.17875,17.712,143.1425,795.49,46.675,354.667272727,697.568,25.7925
mix_42,3821.6971875,26.593,378.086666667,1603.85,19.814375,99.4054545455,641.865,39.590625
mix_43,3026.4425,16.231,308.676666667,1392.024,32.879375,217.745,690.168,32.56125
mix_44,3190.6121875,15.056,442.725,1294.757,33.4525,209.476818182,714.7005,31.243125
mix_45,2926.883125,10.507,393.304166667,1307.184,38.056875,299.818181818,713.6125,31.11875
mix_46,3306.0325,19.084,274.900833333,1725.775,25.17375,163.256363636,671.4135,37.47
mix_47,3261.4159375,19.029,250.649166667,884.812,40.72375,306.446818182,699.6355,28.4425
mix_48,3177.3571875,31.514,38.7458333333,171.642,52.95875,373.976363636,671.6005,23.138125
mix_49,3200.4875,25.849,124.2325,649.813,40.32125,307.961818182,667.508,27.186875
mix_50,3604.5434375,20.92,440.440833333,1604.252,26.326875,155.450909091,684.239,34.1025
mix_51,3197.250625,27.741,124.219166667,370.951,46.4875,336.158181818,673.517,24.94625
mix_52,3824.79,33.305,347.834166667,1207.375,20.6075,104.641363636,628.521,36.573125
mix_53,3231.0715625,24.657,147.876666667,539.511,44.018125,317.199545455,676.5495,24.833125
mix_54,3815.2121875,27.055,266.440833333,1758.273,20.540625,120.712727273,652.939,43.66375
mix_55,3252.661875,21.692,167.2025,619.921,41.55375,322.994545455,678.648,27.60625
mix_56,3291.12,16.274,404.42,1372.519,33.303125,236.86,695.7235,31.011875
mix_57,2864.923125,13.098,299.335833333,930.816,43.515,311.732727273,715.3705,28.03
mix_58,3358.7615625,18.701,283.478333333,1225.16,30.545625,209.304090909,660.4825,32.493125
mix_59,2831.9296875,15.198,148.749166667,924.6,46.5275,356.854090909,701.5825,26.123125
mix_60,3641.455625,23.904,218.055,1051.295,36.21125,249.168181818,654.6675,30.263125
mix_61,3653.5759375,21.16,589.269166667,1753.844,21.49875,94.4145454545,674.523,39.918125
mix_62,3498.6725,21.156,492.036666667,1481.914,22.1625,121.993181818,683.674,34.93625
mix_63,2911.7125,14.779,250.4975,913.121,46.515625,344.337727273,715.589,25.655
