Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	P-value	Correlation	RMSE
A	0.0953089134096239	0	0.0852521611612504	0.220130249414448	0	0.243915427974906	0.0253703656906834	0.187041977791641	0.142980904557448	9999	0.587882704400533	0.810935851114346
B	0.08458621279824	0	0.104840622822642	0.189802604868009	0	0.246511609134997	0.0324250420462495	0.198219961655763	0.1436139466741	9999	0.580517743033932	0.814996138657371
C	0	0	0	0.0538441879918748	0	0.207860419201545	0.00988892227956482	0.633505801559587	0.0949006689674284	9999	0.498839066530785	0.869161333002589
D	0	0.00587595428369703	0	0.0442457640396629	0	0.216820143978956	0	0.63175281881187	0.101305318885814	9999	0.586098122921778	0.814956230606536
E	0.0117463170582153	0	0.0221830690037358	0.0884103906063837	0	0.324732582689641	0.000231556968815304	0.165667184821892	0.387028898851317	9999	0.508432264991834	0.866150937167461
F	0.0397351282937154	0	0	0.155617837746285	0	0.659687208043875	0.0280878217655821	0.0846759633266847	0.0321960408238583	9999	0.478893925857319	0.879227561211456
G	0.101215756585188	0	0.157761696707617	0.28078656586866	0	0.110462035858015	0.205624458901784	0.099527333855612	0.0446221522231239	9999	0.634815636270061	0.791545217723759
H	0.0730074518145426	0	0.371160603821906	0.378884167405158	0	0.0758923244079721	0	0.0602793136968578	0.0407761388535639	9999	0.74357083116861	0.763882964727091
I	0.0761065910694824	0	0.450472117972646	0.340112782440744	0	0.0137863657032855	0	0.0636260738424317	0.0558960689714104	9999	0.763821644438734	0.745799848349881
J	0	0.00658220691478782	0	0.0136510463715655	0	0.124198787420332	0.000669853169538345	0.854898106123776	0	9999	0.657340693059565	0.767412234653708
K	0	0.024325720626423	0	0.0256787370101277	0	0.172511424459365	0.00410796094174509	0.276312339526771	0.497063817435569	9999	0.705224648337424	0.713001536770729
L	0	0.0206368726752308	0	0.0304993731657374	0	0.100735383809742	0.0163402145236085	0.831788155825682	0	9999	0.545560216036677	0.840649487307603
